 	il	lenzuolo	vuole	lavato	</S>
a31	0.12994727	0.09272046	0.04514949	0.06042891	0.6717538
a7	0.27107537	0.28440335	0.07487968	0.0678768	0.30176485
a31	0.01240362	0.0040171696	0.0062951115	0.9226929	0.054591183
a0	0.039296255	0.037615497	0.08662714	0.82830197	0.008159208
a17	0.105748445	0.16704243	0.16748701	0.48308924	0.07663281
a13	0.24952802	0.6111114	0.040924422	0.01283426	0.08560185
a31	0.22051057	0.6265321	0.034944788	0.018354295	0.099658236
a17	0.10653847	0.40628728	0.0747416	0.12332776	0.28910488
a8	0.12000199	0.6904005	0.06090912	0.047278903	0.08140955
a31	0.10343784	0.40473422	0.06383764	0.07402076	0.35396948
a24	0.043215554	0.11735694	0.17902444	0.36728105	0.29312205
a46	0.1888242	0.4527714	0.108287945	0.13669676	0.11341967
a24	0.19992861	0.3309798	0.12679423	0.17025165	0.17204574
a37	0.25251412	0.40937787	0.104128905	0.09544586	0.13853322
a31	0.28020057	0.3457192	0.114692025	0.09455728	0.1648308
</S>	0.11140523	0.14304878	0.2113108	0.31697255	0.21726261
