 	essendosi	vestito	</S>
a46	0.21625629	0.35428557	0.4294581
a31	0.106644295	0.35255992	0.5407958
a18	0.012514979	0.9874742	1.0789321e-05
a31	0.10682288	0.8918054	0.001371728
a20	0.032637615	0.49472678	0.47263557
a46	0.07909452	0.910273	0.010632588
a20	0.050138883	0.8948692	0.05499185
a31	0.05316395	0.28085372	0.6659823
a0	0.5516399	0.331984	0.11637609
a46	0.6151879	0.33307576	0.051736347
a35	0.56276745	0.3195739	0.11765867
a46	0.34689808	0.4600608	0.19304104
a24	0.3279419	0.43695801	0.23510018
a46	0.33940488	0.34325048	0.31734464
a24	0.33227274	0.35898343	0.3087438
a31	0.37007335	0.3162243	0.31370237
</S>	0.330468	0.34414464	0.3253874
