 	Marika	è	che	si	sposa	domani	</S>
a27	0.047283243	0.042325616	0.29132158	0.12776464	0.052292284	0.12449376	0.31451884
a37	0.044849247	0.06933868	0.326538	0.09396834	0.22689413	0.18154022	0.056871433
a31	0.02552111	0.09307488	0.7735667	0.032053318	0.03152509	0.017754164	0.02650473
a11	0.00025114	0.013435828	0.95350367	0.0031291354	0.027051425	0.002421166	0.00020762061
a31	0.020385733	0.056335844	0.25126624	0.41993663	0.1191427	0.10366511	0.029267736
a37	0.06481425	0.2158846	0.22795914	0.15853173	0.22266126	0.07967592	0.030473147
a31	0.02609412	0.042625945	0.21644868	0.38248754	0.15698949	0.14853008	0.026824174
a6	0.011008008	0.07037514	0.14301483	0.31187722	0.23144189	0.20456879	0.02771417
a20	0.038722325	0.061478116	0.28202987	0.18835945	0.18891786	0.19318594	0.047306463
a31	0.079509705	0.12097657	0.22888413	0.11771445	0.35705587	0.05893083	0.036928542
a20	0.031090286	0.14571898	0.4540971	0.16887069	0.154325	0.03352371	0.012374317
a31	0.14192352	0.12548475	0.15747151	0.063445136	0.42009866	0.062253006	0.029323457
a0	0.03450658	0.1264092	0.19782393	0.055153877	0.1912171	0.14609815	0.24879119
a20	0.14460552	0.21666452	0.19185054	0.15941232	0.17396505	0.07585575	0.037646413
a31	0.13240296	0.16361406	0.22174464	0.21407743	0.12862365	0.09621659	0.043320592
</S>	0.035715435	0.1096104	0.12144666	0.074016735	0.19129287	0.22183251	0.24608539
