 	non	ha	da	mangiare	</S>
a31	0.07276553	0.06821622	0.051312886	0.68610984	0.12159558
a20	0.23178057	0.15186745	0.13054241	0.2319902	0.25381935
a31	0.011107805	0.029477792	0.08571208	0.74143624	0.1322661
a41	0.0415215	0.40506488	0.24866106	0.2539574	0.050795183
a10	0.006811048	0.06299361	0.030004788	0.8989547	0.0012359418
a31	0.52082086	0.22247134	0.0277767	0.07814425	0.15078682
a15	0.45300367	0.38444898	0.059812766	0.039164122	0.06357049
a31	0.27575308	0.11604009	0.051745307	0.07857223	0.4778893
a39	0.26825005	0.30682835	0.21835922	0.1116089	0.0949535
a37	0.4432507	0.20814604	0.110187024	0.12155578	0.116860494
</S>	0.26789698	0.21977085	0.18224126	0.16676575	0.16332513
