 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.020209469	0.002544294	0.014078081	0.011860338	0.91186565	0.018999819	0.013244344	0.0010912692	0.0061066463
a15	0.13902865	0.74381876	0.006028394	0.0037902405	0.07418274	0.030688202	0.00020750907	0.0008631674	0.0013923052
a31	0.18870784	0.2785816	0.07571373	0.030452948	0.2410181	0.1454409	0.017518045	0.007788731	0.014778081
a21	0.016303992	0.0014831023	0.00062	0.00053681526	0.9458155	0.03050802	0.0047003706	1.8400473e-05	1.3831814e-05
a31	0.15941642	0.10778675	0.06529852	0.0130586075	0.22303326	0.41806638	0.006969959	0.0010503043	0.005319889
a8	0.14328809	0.06476962	0.013213384	0.06772679	0.39835703	0.30556086	0.0048772776	0.00075630896	0.0014506757
a31	0.38417011	0.14688209	0.014582293	0.018864987	0.25328463	0.13963129	0.031930737	0.0021471502	0.008506701
a20	0.39262322	0.16736913	0.002904837	0.010921772	0.35847893	0.057311956	0.004120212	0.0046948693	0.0015750398
a39	0.45452067	0.35730043	0.0024332192	0.010957327	0.12290827	0.032550186	0.010997801	0.0055529242	0.0027791152
a20	0.50503117	0.4195961	0.0016822198	0.0069048335	0.02839794	0.019340096	0.005299646	0.011772948	0.0019750746
a46	0.36616224	0.41962376	0.00517571	0.022738684	0.12205437	0.037474312	0.013882021	0.008191042	0.0046978914
a31	0.28468013	0.39387745	0.012373383	0.03812834	0.16493927	0.055132315	0.025042927	0.01462489	0.011201343
a39	0.4727096	0.38898346	0.015737118	0.021692239	0.07178808	0.014262278	0.0022980182	0.0054665366	0.0070626293
a31	0.29513505	0.47666168	0.027084341	0.026549289	0.07686498	0.030939784	0.0152959265	0.016313327	0.035155527
a20	0.20843638	0.359097	0.113567464	0.049650017	0.088254996	0.019876236	0.007499178	0.009350571	0.14426817
a31	0.5518274	0.15671682	0.038326662	0.037329942	0.044576712	0.046572313	0.038610764	0.045255728	0.040783737
a46	0.17337775	0.20429437	0.061827756	0.05985629	0.07236647	0.03766803	0.027991224	0.043395348	0.31922275
a31	0.22184876	0.15162049	0.08777129	0.08828406	0.09091206	0.09246797	0.088663064	0.09013664	0.088295676
a46	0.13071844	0.13347472	0.057791494	0.060980987	0.06150078	0.048121292	0.044925213	0.07615612	0.38633096
</S>	0.16166614	0.13635744	0.09943126	0.10000947	0.101548746	0.101471305	0.09963269	0.100349784	0.099533156
