 	l'	ho	sentito	che	veniva	</S>
a41	0.12126357	0.07679542	0.38511398	0.36257136	0.012055046	0.042200662
a31	0.12871692	0.43526852	0.056465965	0.102720186	0.0287885	0.24803998
a24	0.07544057	0.07451403	0.09039341	0.753087	0.0017878421	0.004777093
a15	0.82438755	0.13807723	0.023675628	0.010036924	0.0004508854	0.0033718348
a28	0.45866036	0.4351999	0.019284915	0.08482138	0.00012953139	0.0019038537
a0	0.36685658	0.21371022	0.11978869	0.27466753	0.006998987	0.017977962
a31	0.26263037	0.047289807	0.13496973	0.45490292	0.035254583	0.06495253
a11	0.50072384	0.09183545	0.044994626	0.027147178	0.05244096	0.28285798
a31	0.25921732	0.14000644	0.16869168	0.15808295	0.12013753	0.15386412
a39	0.10582433	0.1190857	0.111552335	0.020003168	0.40792477	0.23560967
a20	0.25036946	0.13566628	0.22039132	0.04998219	0.19502698	0.14856382
</S>	0.17931798	0.1139119	0.26096982	0.049441233	0.24452987	0.15182917
