 	nella	pasta	metti	sale	vuole	il	sale	</S>
a28	0.04602336	0.018117858	0.05248339	0.061376154	0.16619106	0.08055734	0.14401798	0.4312329
a31	0.13509226	0.055611923	0.0153279565	0.031943344	0.035518657	0.22255218	0.28901494	0.21493873
a7	0.013556813	0.012025261	0.046655286	0.004761177	0.49643156	0.24947366	0.17708358	1.2679984e-05
a46	0.009441376	0.039532628	0.009458606	0.018845286	0.42707184	0.20563094	0.28881726	0.0012020281
a10	0.2821925	0.21924776	0.17277214	0.12117171	0.12586209	0.0401722	0.027160723	0.01142094
a14	0.20906295	0.18031102	0.16130686	0.20776683	0.16620871	0.038468715	0.024825217	0.012049767
a31	0.17283331	0.18933988	0.12220318	0.22158293	0.18706656	0.050289303	0.03713239	0.019552452
a0	0.26452667	0.3761572	0.23742974	0.04513712	0.060115512	0.010729884	0.004587633	0.0013163006
a20	0.24363747	0.1414022	0.13094263	0.09627979	0.06369462	0.044966396	0.07175543	0.20732136
a31	0.26671517	0.15641561	0.098628074	0.041607115	0.025335776	0.048141893	0.09286764	0.27028874
a10	0.10976406	0.07556725	0.30237138	0.07984264	0.08060034	0.04337989	0.085053675	0.2234208
a0	0.3434478	0.20287843	0.2671475	0.09574419	0.06279321	0.014884399	0.0071708914	0.0059335604
a18	0.19191033	0.251126	0.17353864	0.115785696	0.10461324	0.07138222	0.045104865	0.046539042
a17	0.16998392	0.18314347	0.17193124	0.14826742	0.13836898	0.08829658	0.05307117	0.04693727
a8	0.16877118	0.13727674	0.18537265	0.17212647	0.16013868	0.08495627	0.04923001	0.042127937
</S>	0.1620208	0.08878465	0.21715005	0.20690154	0.17863297	0.06467943	0.042413518	0.03941704
