 	io	non	ho	niente	da	mangiare	</S>
a8	0.02742311	0.0095185125	0.016744971	0.14172626	0.030788673	0.1304073	0.6433912
a31	0.1491819	0.08962428	0.14088084	0.01480369	0.16863093	0.095594354	0.34128395
a8	0.041410018	0.001181	0.003779321	0.0027878354	0.028308801	0.9225209	1.2095936e-05
a20	0.1897468	0.16038442	0.09070976	0.0967507	0.09924004	0.34361395	0.019554367
a31	0.15242231	0.09971781	0.1956113	0.11098787	0.07827881	0.17140454	0.19157736
a14	0.12578185	0.077134944	0.122790575	0.6133963	0.042105854	0.006992223	0.011798269
a31	0.11260758	0.09269139	0.19479088	0.2586678	0.18236716	0.05202348	0.10685169
a13	0.088533096	0.04823432	0.16066734	0.4905349	0.19236939	0.015675887	0.0039850436
a37	0.09280957	0.05295695	0.104721755	0.4003308	0.10641796	0.034292553	0.20847036
a10	0.11427802	0.053000625	0.05941078	0.6897245	0.02656505	0.014335444	0.042685557
a20	0.06942017	0.05344266	0.039503224	0.73692274	0.008295533	0.022624256	0.0697915
a7	0.048065063	0.018167878	0.003865841	0.8726077	0.0018086412	0.0068178554	0.04866699
a18	0.041271612	0.017087555	0.004012375	0.8777602	0.0037258617	0.0071865	0.048956033
a44	0.053700313	0.029029269	0.010735781	0.85650355	0.009968121	0.008713159	0.03134977
</S>	0.094144486	0.04954106	0.033413153	0.7496986	0.028297346	0.01589073	0.029014682
