 	forse	non	li	ha	a	casa	</S>
a28	0.14104603	0.012418307	0.043564454	0.042869505	0.047146656	0.366479	0.34647605
a10	0.79606897	0.091473095	0.0013633623	0.011909088	0.01905893	0.059051245	0.021075418
a31	0.019409481	0.1502437	0.008465707	0.31143108	0.4671313	0.0293782	0.013940564
a21	0.005080706	0.041703466	0.0057284	0.5891354	0.3437824	0.014389033	0.0001806785
a37	0.066840105	0.055017363	0.05987179	0.37554023	0.36775577	0.056246966	0.018727768
a31	0.10701331	0.33726728	0.33348584	0.10456196	0.069258444	0.028569736	0.019843424
a37	0.23687716	0.32052168	0.1346994	0.17389806	0.08410988	0.038623247	0.011270457
a31	0.10135401	0.14195372	0.2579344	0.24759151	0.18619895	0.038685307	0.026282072
a37	0.031904314	0.09984252	0.3520035	0.43007493	0.06601681	0.015712714	0.0044451854
a31	0.36504453	0.086365335	0.093014866	0.112077996	0.075687505	0.18744133	0.08036848
a21	0.033214103	0.04476075	0.24906637	0.27534056	0.15292671	0.17244016	0.07225131
a31	0.13540757	0.31834698	0.28613943	0.07682266	0.03719921	0.11661446	0.029469686
a20	0.014296014	0.09472443	0.24884601	0.07480182	0.051747337	0.21961212	0.29597223
a31	0.061845742	0.39711812	0.27658454	0.08041059	0.055881813	0.09088282	0.03727633
a37	0.012451521	0.16336128	0.25275508	0.09028794	0.10076632	0.1616741	0.21870373
a33	0.08622214	0.3075197	0.20402679	0.11499766	0.09653659	0.11096257	0.079734534
</S>	0.12717322	0.1671077	0.15995362	0.12849768	0.1266064	0.15733418	0.13332725
