 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
a31	0.0012098107	0.0025750557	0.17803293	0.7023526	0.020862756	0.0011966171	0.004212976	0.08955729
a23	0.00591283	0.010871273	0.003315216	0.0037046387	0.029204508	0.9430887	0.0016811948	0.002221665
a20	0.04740956	0.37446615	0.006244967	0.0020448193	0.06224302	0.48942018	0.013437633	0.004733757
a28	0.112318	0.17293118	0.092618406	0.037220478	0.2093669	0.29578847	0.04230076	0.037455812
a31	0.23338728	0.25581586	0.11856787	0.1037809	0.10970274	0.09786771	0.026512643	0.05436494
a17	0.070908	0.7973583	0.022872306	0.04011804	0.01847556	0.020966941	0.008282355	0.021018533
a31	0.34889382	0.06837113	0.11389414	0.19042763	0.038030393	0.022408828	0.0258738	0.19210026
a19	0.31780797	0.36953595	0.026802303	0.03343104	0.13102143	0.07202327	0.030569576	0.018808456
a31	0.04342276	0.008928769	0.20164947	0.4018667	0.02024471	0.00494444	0.006721764	0.31222135
a20	0.2096468	0.3037379	0.032365356	0.041259155	0.17872459	0.11452672	0.08694273	0.032796748
a31	0.061599642	0.019954277	0.20767388	0.4655662	0.042353734	0.011778717	0.008804907	0.18226862
a20	0.111307256	0.15570082	0.041314647	0.0493263	0.25192797	0.1392497	0.1672696	0.08390366
a31	0.0916632	0.034107696	0.15936826	0.5145707	0.040756218	0.05082264	0.013899545	0.09481166
a20	0.06209715	0.07031846	0.052979536	0.06525188	0.20135947	0.0928921	0.19938058	0.25572082
a24	0.14505218	0.04925663	0.09684884	0.4006738	0.03685649	0.1745197	0.02554645	0.07124588
a31	0.031839065	0.0070353905	0.20192729	0.42632142	0.06176185	0.023623805	0.02043051	0.22706069
a38	0.11367327	0.03985994	0.13759504	0.19062887	0.0964302	0.039554123	0.049383704	0.33287477
a31	0.20749286	0.045549538	0.089691035	0.31084803	0.040796403	0.16069503	0.044525035	0.10040208
a28	0.21346906	0.07997841	0.09607831	0.1926716	0.040794082	0.058506757	0.07826352	0.24023826
a20	0.26684934	0.06474984	0.06561163	0.13444157	0.048478186	0.27622423	0.05784554	0.08579973
a31	0.09769438	0.039830428	0.1210502	0.38571504	0.054226078	0.12706171	0.053845767	0.12057643
a24	0.31834093	0.12838043	0.06648777	0.18502656	0.030244533	0.052413188	0.0891014	0.13000527
a8	0.17749284	0.103007115	0.11449924	0.15852499	0.096180715	0.14341713	0.09837879	0.1084992
a38	0.07402317	0.062865324	0.1474338	0.38511002	0.07816556	0.08521673	0.0664445	0.10074094
</S>	0.06971468	0.06389964	0.15158698	0.4070179	0.077810034	0.072091654	0.06465385	0.093225226
