 	dovevo	comprare	il	pane	</S>
a31	0.2898148	0.12505095	0.066513695	0.3808345	0.13778608
a46	0.9903216	0.0011056388	0.0035434873	0.0034527776	0.0015766143
a31	0.39730653	0.015540055	0.36128405	0.08302788	0.14284149
a18	0.9891075	0.0014868871	0.006869431	0.0002728631	0.0022632745
a13	0.74493724	0.006116581	0.10748801	0.037046175	0.104412
a0	0.9093756	0.0107150115	0.007961916	0.040399175	0.03154848
a20	0.9136915	0.01766411	0.010788415	0.029146336	0.028709576
a7	0.81354445	0.009053993	0.01711255	0.123724915	0.036564086
a20	0.7264132	0.012229924	0.020527495	0.12778339	0.11304603
a31	0.47488624	0.048763346	0.04334075	0.14500958	0.28800008
a11	0.8784967	0.03551274	0.034413237	0.032255936	0.019321352
a39	0.54931945	0.101097904	0.036057606	0.26763675	0.045888316
a31	0.3047252	0.22284733	0.07275422	0.2773507	0.12232263
a13	0.27981523	0.067508824	0.13937514	0.4598965	0.053404283
a17	0.56512606	0.09886083	0.05010625	0.24774097	0.038165897
a31	0.35574448	0.27009878	0.06863589	0.21058759	0.094933204
a46	0.04866112	0.18731046	0.2310991	0.49220756	0.04072176
a20	0.34200928	0.19496396	0.14834253	0.17382377	0.14086051
a31	0.17447057	0.10157639	0.08887712	0.5491859	0.08589
</S>	0.04257992	0.25737527	0.30533186	0.36485982	0.029853076
