 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.2331791	0.06938002	0.105730586	0.08742482	0.233602	0.27068347
a31	0.33559024	0.02754645	0.0037542013	0.0072490736	0.31833038	0.30752966
a24	0.19652133	0.00067425804	0.0005894926	0.00045253988	0.8017569	5.4355455e-06
a37	0.30146146	0.0039278506	0.014952081	0.040634207	0.6368425	0.002181981
a14	0.6877025	0.015439815	0.016806385	0.046738174	0.2149841	0.018329062
a29	0.5976325	0.017600005	0.035332944	0.08323233	0.22663008	0.039572112
a0	0.7236869	0.021049656	0.037597787	0.06547603	0.07123228	0.080957346
a29	0.7876693	0.01156811	0.02395517	0.048239686	0.036786277	0.09178149
a20	0.73093045	0.005543655	0.01043229	0.037238453	0.022683011	0.19317223
a31	0.5722567	0.006561737	0.014751299	0.039827976	0.024705708	0.34189656
a24	0.48332387	0.017248364	0.031062752	0.011056094	0.4408086	0.016500277
a46	0.594107	0.043812197	0.15615977	0.055436224	0.054017216	0.096467614
a31	0.2010134	0.043626856	0.35607222	0.18978496	0.12053806	0.08896451
a0	0.7883407	0.028524062	0.056527164	0.016575411	0.107894935	0.0021377096
a20	0.40587366	0.0682386	0.288434	0.09688196	0.082643405	0.057928372
a31	0.10954069	0.058705084	0.49672085	0.18687493	0.11767724	0.030481193
a46	0.046825115	0.03457333	0.5679984	0.2184685	0.118180186	0.013954456
</S>	0.4194897	0.1851171	0.16006409	0.08983869	0.077808246	0.06768226
