 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.10606146	0.12378667	0.3390563	0.11592099	0.02169947	0.03417017	0.25930485
a8	0.041380625	0.21751383	0.035697054	0.13403334	0.32630855	0.18659075	0.05847584
a20	0.007551843	0.6931871	0.012266358	0.041978147	0.06378542	0.17648935	0.0047417334
a8	0.0035248252	0.057077684	0.008282001	0.0051043495	0.12239407	0.7091343	0.09448282
a31	0.062443744	0.029626949	0.025508843	0.022003068	0.15135798	0.4502332	0.2588262
a37	0.0015549483	0.046838947	0.019630035	0.12980361	0.22347592	0.5530337	0.025662808
a10	0.1320469	0.074995495	0.030471833	0.65353966	0.04137215	0.008892589	0.058681406
a31	0.08431848	0.037957538	0.016346412	0.20568417	0.15273812	0.10091369	0.40204158
a21	0.0014665792	0.004438182	0.001012553	0.827816	0.1527426	0.01147669	0.0010473974
a31	0.21735975	0.06853279	0.018225728	0.5253381	0.03553936	0.009248283	0.12575595
a10	0.050530218	0.04485173	0.027766123	0.6760894	0.1046664	0.047165688	0.048930377
a17	0.0637782	0.035274442	0.0067590713	0.8090005	0.04538183	0.0093029905	0.030502925
a20	0.1556954	0.053803194	0.021865701	0.5609138	0.040392607	0.012414959	0.15491426
a31	0.25934622	0.09193337	0.06282694	0.29767954	0.07371937	0.01525248	0.1992421
a39	0.22830889	0.16760528	0.047493596	0.1386111	0.13398056	0.09143148	0.19256914
a31	0.11682215	0.09167604	0.020378623	0.56230944	0.12315202	0.03283651	0.05282527
a8	0.15658861	0.13851565	0.022075279	0.13491884	0.2425514	0.1482704	0.1570798
a39	0.18749589	0.17822048	0.09190362	0.18036875	0.15681353	0.098540656	0.10665704
a8	0.1650255	0.15941581	0.111218445	0.16250823	0.16254915	0.11454816	0.124734685
</S>	0.13990358	0.12715717	0.11760205	0.2725956	0.12169207	0.104055785	0.11699373
