 	non	aveva	cosa	a	fare	</S>
a31	0.036067866	0.019448955	0.7309172	0.079017386	0.10109254	0.033456024
a18	0.46559736	0.011481587	0.063633695	0.009893858	0.046457652	0.40293592
a24	0.03631509	0.009224553	0.038131945	0.012611752	0.7356854	0.16803126
a20	0.14494029	0.0360173	0.5417596	0.082273506	0.17914285	0.01586643
a31	0.5764774	0.031686276	0.07359598	0.039976742	0.21537545	0.06288817
a18	0.7259181	0.041265648	0.046918143	0.041341826	0.026430925	0.11812534
a31	0.39182323	0.028554406	0.031457633	0.020659795	0.09532552	0.43217942
a17	0.44920564	0.030117067	0.05508758	0.03579049	0.0345122	0.395287
a20	0.48083842	0.08352197	0.11418125	0.05838931	0.1213336	0.14173543
a31	0.337704	0.09999433	0.11238784	0.088230886	0.09973414	0.26194882
</S>	0.1761208	0.0858526	0.071006574	0.0764039	0.08715569	0.5034604
