 	è	che	stanno	ancora	svegli	</S>
a31	0.13143912	0.13941859	0.20786469	0.07842154	0.15409936	0.2887567
a11	0.19859877	0.02907101	0.5210977	0.034687623	0.09899147	0.117553376
a7	0.007107054	0.012000669	0.4943642	0.1968285	0.21960407	0.07009551
a24	0.036453683	0.043367546	0.598154	0.14429505	0.13248289	0.045246832
a31	0.33850682	0.17685251	0.12068405	0.12464947	0.13526921	0.10403795
a20	0.29139882	0.13703565	0.11000964	0.12872669	0.18527877	0.14755042
a31	0.24138692	0.053947475	0.03474909	0.045904335	0.15802515	0.4659871
a46	0.22112864	0.2948701	0.10554725	0.13333188	0.13152716	0.11359498
a41	0.32795355	0.100813694	0.06807163	0.0697371	0.17417149	0.25925255
a31	0.16768853	0.042333655	0.033003584	0.056263193	0.16193765	0.53877336
a33	0.19422334	0.066749506	0.023236657	0.048630305	0.1545922	0.512568
a31	0.23334791	0.12637685	0.11029178	0.108307384	0.19568217	0.2259939
a0	0.31857204	0.29531738	0.052136358	0.042210035	0.07726034	0.21450382
a31	0.2846454	0.14771265	0.12558012	0.12022888	0.16660987	0.15522315
a20	0.37585935	0.32241496	0.07799793	0.051624727	0.06796473	0.10413833
a28	0.31829894	0.15999064	0.13148001	0.1222666	0.13815038	0.12981345
a11	0.2426449	0.22085866	0.1365483	0.12964728	0.13465047	0.1356504
</S>	0.20556964	0.17862551	0.1616942	0.15241975	0.15123448	0.15045649
