 	i	genitori	non	li	dimentichiamo	mai	</S>
a33	0.031211236	0.006555346	0.03173874	0.01985974	0.024270922	0.56969535	0.3166686
a31	0.1999434	0.021361146	0.0028940146	0.060564037	0.38747567	0.078234024	0.24952772
a8	0.00012463845	0.0010514149	0.00035247928	0.009846417	0.98851633	0.00010284462	5.935341e-06
a31	0.0256053	0.07601617	0.13548945	0.33456656	0.40715486	0.016500201	0.0046674833
a8	0.04423563	0.010228698	0.008978928	0.038676612	0.8664806	0.023569308	0.007830284
a31	0.23555148	0.19362968	0.1973956	0.1607313	0.13351385	0.056182355	0.022995748
a46	0.18035929	0.29254773	0.2751599	0.1590955	0.063835286	0.0164438	0.012558507
a31	0.31337646	0.16760385	0.18581998	0.12644708	0.063732564	0.084194645	0.058825504
a39	0.19521813	0.25937587	0.26703826	0.12597309	0.07948653	0.034986198	0.037921894
a31	0.46596876	0.041094918	0.09608457	0.04147628	0.02260366	0.09180843	0.24096343
a24	0.06540781	0.13110118	0.29466107	0.17282565	0.13848285	0.11017897	0.087342456
a15	0.6071887	0.07577668	0.1442893	0.025365459	0.009893341	0.03261745	0.104869135
a31	0.478986	0.01627744	0.07658829	0.014990963	0.011315534	0.14792544	0.25391635
a28	0.03383598	0.15687433	0.28944057	0.06930785	0.024517309	0.23320724	0.19281672
a31	0.4634649	0.100241825	0.29144853	0.03239494	0.019680668	0.035518534	0.057250556
a18	0.03933181	0.30979612	0.36842778	0.11388114	0.027964521	0.07524184	0.06535679
a31	0.31693822	0.14229777	0.3842157	0.044342026	0.030540505	0.035457015	0.04620869
a20	0.048109002	0.3628711	0.40387648	0.11582627	0.026292412	0.021881402	0.021143317
a11	0.19516121	0.19731939	0.42739883	0.056365095	0.03984918	0.039889332	0.044017076
a13	0.24597533	0.1385921	0.25307816	0.08979603	0.081315115	0.097082846	0.09416038
a17	0.1653534	0.14695929	0.17761804	0.12434647	0.120878726	0.13411328	0.13073073
a20	0.16034962	0.14423025	0.16491133	0.13121548	0.12897682	0.13630049	0.13401598
a39	0.15456116	0.1429307	0.15673663	0.1348217	0.13354255	0.13973615	0.13767105
</S>	0.1500947	0.14267252	0.15101016	0.13799997	0.13724767	0.14113545	0.13983962
