 	mia	sorella	quest'	anno	che	vienne	studierà	per	medico	</S>
a10	0.019687349	0.0015589898	0.05324321	0.9134702	0.0053918283	0.00082368875	0.0005562238	0.0002985736	0.00074071245	0.0042291577
a31	0.03126319	0.0006656194	0.05587202	0.8442922	0.006661217	0.014975359	0.030838557	0.013307952	0.0007638332	0.0013600369
a1	0.003930758	0.0008970807	0.19863603	0.09415601	0.016447265	0.62034553	0.03303964	0.031177895	0.0013596325	1.0155208e-05
a28	0.017227096	0.007722637	0.025715735	0.059864644	0.04822749	0.1073399	0.17960311	0.47037327	0.032005623	0.051920492
a24	0.019408813	0.011213051	0.025454622	0.056763154	0.0815048	0.10618061	0.1513052	0.45061904	0.035868283	0.061682373
a31	0.21555007	0.0053864573	0.012451469	0.04749923	0.13681088	0.4012157	0.08935848	0.06739339	0.0030532908	0.02128109
a18	0.12412488	0.00096234574	0.0028788014	0.0037705107	0.004703866	0.31691986	0.34912854	0.15835373	0.009097419	0.030060058
a24	0.6927026	0.00062374567	0.03436307	0.11986286	0.0900276	0.040525056	0.009548361	0.0019295347	0.0011077829	0.009309418
a13	0.714258	0.008616326	0.021194475	0.05010547	0.05751939	0.084673256	0.017871363	0.022531576	0.0008503644	0.022379784
a18	0.85295266	0.0033672783	0.024748862	0.025562031	0.046431784	0.032610785	0.0032877354	0.0033137458	0.0008893727	0.006835625
a31	0.8520475	0.0015228672	0.015928593	0.009278351	0.06857068	0.03833996	0.0020624879	0.0015391002	0.0011496982	0.009560834
a24	0.10165988	0.0010268033	0.0063721174	0.013531145	0.010972526	0.43346536	0.23497508	0.14592315	0.019235725	0.032838207
a11	0.6199016	0.0018760716	0.023171086	0.09424732	0.096350476	0.13093258	0.01512954	0.0042072157	0.0035957335	0.010588463
a31	0.58206177	0.0018401296	0.06562593	0.15136336	0.14799035	0.028947081	0.0030086897	0.0030523823	0.0018670338	0.014243314
a39	0.07418127	0.0005303236	0.027797638	0.046104632	0.034231547	0.3193972	0.27834395	0.11719661	0.03855343	0.063663416
a20	0.49560657	0.0027948464	0.021471636	0.111182235	0.09713074	0.22070149	0.028366465	0.00659204	0.0052416273	0.01091241
a31	0.39719507	0.0005785884	0.054371342	0.29181522	0.198309	0.03949896	0.005490918	0.0017801699	0.0018358346	0.009124902
a17	0.0089129	0.00020551552	0.017154803	0.083433434	0.011116938	0.12174088	0.5909868	0.13545346	0.009795518	0.021199824
a20	0.44055274	0.004521435	0.017763777	0.07278211	0.090859115	0.30635282	0.036172364	0.010236858	0.008264217	0.012494612
a31	0.20704816	0.0012007771	0.033217836	0.5293209	0.09722846	0.10432564	0.013803059	0.003496396	0.0035906204	0.0067681028
a24	0.0031263088	0.00021769348	0.005743925	0.07046324	0.0050140987	0.05181561	0.6414813	0.19650386	0.009251444	0.01638253
a20	0.40160513	0.012170361	0.018482769	0.046223827	0.08780679	0.32226145	0.05310171	0.022572037	0.017376505	0.018399479
a8	0.18549332	0.009178903	0.035846937	0.29342547	0.12478826	0.27524266	0.031517252	0.015165238	0.014980097	0.014361883
a20	0.21116646	0.04279923	0.08604424	0.18183836	0.14265744	0.21157686	0.033500977	0.034717567	0.027658675	0.028040273
a31	0.1845334	0.08705775	0.09286394	0.11816379	0.11857786	0.1929384	0.054347746	0.06136305	0.046744913	0.043409213
a24	0.005876959	0.0011816813	0.0051563433	0.112547	0.0075124023	0.32748502	0.30880538	0.15231384	0.047149993	0.031971447
a37	0.28159782	0.024511732	0.017566495	0.036299862	0.089587204	0.34993252	0.07497737	0.048083726	0.038508713	0.038934562
a46	0.13108115	0.09323169	0.05827217	0.15795879	0.10750528	0.18647309	0.078332014	0.069479905	0.064523935	0.05314188
a31	0.14891051	0.19137637	0.08448395	0.08336538	0.0921376	0.11556974	0.07310403	0.07770108	0.06841497	0.064936414
a28	0.009144509	0.0052605732	0.010430875	0.06867132	0.013457861	0.12158773	0.28929028	0.43600413	0.023059119	0.023093626
a24	0.12849154	0.039574232	0.024129217	0.04926258	0.10212692	0.3056557	0.11687133	0.095802225	0.07272529	0.06536098
a31	0.14221951	0.20360081	0.08909365	0.08177221	0.09067393	0.10400161	0.07330153	0.07502909	0.07100239	0.069305256
a17	0.06346449	0.048084475	0.054006252	0.08614583	0.076799504	0.099963896	0.09286575	0.17121495	0.09873673	0.2087181
a31	0.099436805	0.07287437	0.06371291	0.07961038	0.11067405	0.16197394	0.11122893	0.12113206	0.094512805	0.08484379
a46	0.021065677	0.01842136	0.017783321	0.031055538	0.024236182	0.036656354	0.1519045	0.22398917	0.21151485	0.2633731
a8	0.10179331	0.08182616	0.082299	0.09486262	0.11683512	0.14316003	0.0988223	0.10113764	0.09156808	0.08769577
a31	0.10111977	0.10414178	0.09626875	0.098570496	0.10077397	0.104666695	0.099217854	0.100514814	0.09789879	0.09682709
a8	0.030305676	0.026686475	0.025797721	0.03063263	0.0335507	0.042102076	0.10989379	0.1604787	0.20632382	0.3342285
</S>	0.10260247	0.0929849	0.09299323	0.09914005	0.10943621	0.12010668	0.09726609	0.097201	0.094615616	0.09365378
