 	sul	muro	vuole	uno	specchio	</S>
a31	0.13566223	0.03631297	0.05357178	0.04264415	0.15465716	0.5771517
a39	0.8459161	0.0036365916	0.024731487	0.0074653896	0.0044547617	0.11379566
a35	0.5554853	0.038276397	0.1542218	0.08343006	0.11716945	0.05141698
a31	0.18645933	0.059096962	0.32264724	0.25588182	0.15338999	0.022524655
a2	0.43018833	0.05416566	0.25798097	0.11118747	0.12602568	0.02045196
a0	0.8448873	0.021066107	0.063211605	0.019695709	0.03650771	0.014631696
a20	0.8631933	0.014547914	0.010613175	0.0039343387	0.0090469895	0.098664366
a18	0.83972555	0.028922647	0.019676788	0.006733133	0.01722599	0.08771588
a31	0.7407823	0.015877862	0.015168456	0.008318988	0.012830257	0.20702209
a0	0.4380055	0.02902137	0.11809869	0.11376258	0.03700918	0.26410264
a31	0.5761888	0.07078877	0.11690054	0.07607052	0.060690593	0.09936085
a46	0.11184966	0.07724964	0.22772329	0.24436224	0.07951671	0.25929847
a33	0.30427682	0.12808351	0.1634337	0.15776433	0.1255166	0.12092497
a8	0.18359622	0.15454426	0.16227083	0.15762094	0.15279768	0.18917002
a31	0.20474659	0.15921794	0.146193	0.13046446	0.15156963	0.20780832
</S>	0.109531716	0.11245667	0.14297187	0.16427079	0.11737217	0.35339674
