 	l'	ho	sentito	quando	veniva	</S>
a31	0.11478258	0.064119905	0.3341111	0.43272495	0.012602307	0.041659202
a46	0.45023	0.38284934	0.12729415	0.019235963	0.0031103264	0.017280111
a41	0.31561276	0.5418052	0.0996269	0.02623778	0.004022083	0.012695231
a31	0.24226274	0.6122091	0.07038612	0.072211295	0.00047271815	0.0024580925
a24	0.13724594	0.097615205	0.045535598	0.7115755	0.003052924	0.004974818
a31	0.18400943	0.0262472	0.15728207	0.6189771	0.0037502889	0.009733875
a15	0.66252285	0.07693565	0.0730867	0.04005455	0.055586796	0.09181352
a46	0.23288351	0.061904266	0.31760687	0.2658908	0.037666336	0.0840482
a31	0.23865753	0.080204174	0.23293169	0.047399458	0.17519003	0.22561707
a0	0.1606441	0.08671257	0.3000265	0.0623408	0.20111157	0.18916444
a41	0.17589404	0.08912635	0.3706861	0.10541064	0.19197884	0.06690398
</S>	0.12485096	0.093259506	0.39127806	0.072046265	0.22437988	0.09418531
