 	perché	aveva	lavorato	molto	</S>
a46	0.4305626	0.19044395	0.123220205	0.17391756	0.08185566
a31	0.13728783	0.060788725	0.114439376	0.6341321	0.053351987
a17	0.003358311	0.00093465805	0.009870069	0.9858349	2.103503e-06
a31	0.17174836	0.04612712	0.2242797	0.5175945	0.040250327
a37	0.012124464	0.089829005	0.7236187	0.17003572	0.004392111
a31	0.056487575	0.05773798	0.38192642	0.4701015	0.03374649
a18	0.14641833	0.14845921	0.50946575	0.17897254	0.01668423
a10	0.027212989	0.028026633	0.29809213	0.5951807	0.051487453
a31	0.08783088	0.053071063	0.52100074	0.27390394	0.06419339
a46	0.74265766	0.057308424	0.09695347	0.08561958	0.017460955
a20	0.6568588	0.06635602	0.035619985	0.2047694	0.03639576
a11	0.5336003	0.11071654	0.059827425	0.2372267	0.05862909
a18	0.3180175	0.13992912	0.079202205	0.38454148	0.07830963
a31	0.24947087	0.16075805	0.10625114	0.4061177	0.07740226
a0	0.33947363	0.101762585	0.14470802	0.34441468	0.06964109
a31	0.57810426	0.1334509	0.06906986	0.1383655	0.08100955
a8	0.11689086	0.059646808	0.088192455	0.5778865	0.15738328
a31	0.28940317	0.18407343	0.1691045	0.1867405	0.17067836
a7	0.15018336	0.1216361	0.13604708	0.43687868	0.15525481
a31	0.29525366	0.18821917	0.16274479	0.19142367	0.16235878
</S>	0.13571729	0.100265004	0.118286476	0.4896175	0.15611373
