 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a20	0.011612622	0.0037326168	0.015519944	0.05778977	0.06066906	0.120467424	0.012119471	0.26644003	0.4174369	0.009580655	0.024631513
a31	0.038418505	0.18889372	0.01823382	0.09181347	0.5076353	0.09368609	0.050542552	0.001878729	0.00012586052	0.0030122553	0.005759677
a46	0.00018669748	0.93618846	0.00021507611	0.00355336	0.0016116287	0.007166439	0.04568302	0.0053008017	9.314337e-05	1.3085731e-06	6.515636e-08
a20	0.015350277	0.257555	0.1671831	0.2317594	0.027998246	0.016106425	0.1968352	0.04516859	0.0054755392	0.0017268073	0.034841426
a31	0.016781567	0.27646115	0.1780676	0.26430747	0.026347535	0.02753052	0.12059427	0.04965111	0.008402622	0.001188956	0.030667208
a29	0.0066496697	0.087451614	0.0025327115	0.009148961	0.004761809	0.0036101155	0.26640168	0.57105565	0.04336923	0.001063014	0.003955577
a31	0.17238505	0.066994764	0.086065486	0.2610621	0.045851633	0.095967405	0.1812212	0.045686074	0.017862843	0.0015578666	0.02534557
a37	0.035198428	0.45945534	0.0108673815	0.0290452	0.025492808	0.03152502	0.049368832	0.31459922	0.034475982	0.0026698133	0.007302035
a31	0.0961746	0.09135383	0.03911892	0.12133666	0.0785608	0.13226025	0.1839105	0.1801098	0.054011296	0.0025817798	0.020581516
a41	0.066243194	0.616775	0.035607066	0.053433884	0.061883505	0.047080014	0.062138867	0.032700285	0.0037628952	0.004525877	0.015849408
a8	0.07417732	0.04707633	0.026890825	0.049046125	0.18785636	0.39766577	0.080626756	0.084048785	0.041124072	0.0023903274	0.00909734
a31	0.1529213	0.15915014	0.008627896	0.021390261	0.15788211	0.28728363	0.12551893	0.046555042	0.030262787	0.004144304	0.006263599
a20	0.044045504	0.1078018	0.21516433	0.22765753	0.06389068	0.05761867	0.18364654	0.019909708	0.0060025086	0.011852674	0.062409993
a0	0.103097335	0.052346535	0.034575332	0.03164579	0.29685193	0.37823382	0.039900012	0.023498368	0.03209684	0.0025146615	0.005239296
a29	0.1899855	0.07608284	0.016593024	0.028432466	0.32000625	0.25279957	0.07927315	0.014865495	0.009438996	0.0054854667	0.0070372876
a31	0.13263032	0.057804853	0.01989503	0.03590883	0.38076112	0.23089726	0.040622108	0.04429018	0.036385097	0.009109704	0.011695462
a24	0.010869107	0.033399355	0.40568864	0.37880245	0.06657933	0.047007214	0.022799984	0.005887695	0.005410742	0.0029558023	0.020599678
a17	0.13986386	0.1649644	0.036114495	0.04776734	0.26830864	0.2229275	0.023942543	0.032122675	0.04877324	0.0071231765	0.008092164
a8	0.04884918	0.06208798	0.035352312	0.04012067	0.36948434	0.37194854	0.010705779	0.016176457	0.025643213	0.008498176	0.011133311
a31	0.05434249	0.05960846	0.050486386	0.042339496	0.27317628	0.3243554	0.01721731	0.045163523	0.083240844	0.023126125	0.026943693
a18	0.009667677	0.2530143	0.21427059	0.26275024	0.0953777	0.059143476	0.012316681	0.02294205	0.024706027	0.009529146	0.0362821
a38	0.1378248	0.23517522	0.03849388	0.05888825	0.22976509	0.15647711	0.030552978	0.039355505	0.046646144	0.0132042365	0.0136168115
a31	0.12222433	0.19569352	0.058529224	0.061810456	0.16557908	0.15651317	0.039773177	0.048717264	0.053505346	0.05387277	0.043781716
a8	0.04672407	0.17959265	0.13404614	0.1800392	0.14087895	0.083875924	0.03397949	0.022348354	0.023067487	0.027950605	0.12749706
</S>	0.08634725	0.16285501	0.06766159	0.08241277	0.18751292	0.12121809	0.0626766	0.06172914	0.064556986	0.051106587	0.05192308
