 	l'	ha	scritta	</S>
a20	0.12649493	0.10342623	0.55481136	0.21526748
a31	0.045070592	0.34588987	0.44909054	0.15994897
a35	0.0033454555	0.23016302	0.76648754	3.9867537e-06
a31	0.040299613	0.2723661	0.65836805	0.028966216
a35	0.020965764	0.8011658	0.17183566	0.006032724
a31	0.06646457	0.32997516	0.5679692	0.035591025
a41	0.053632684	0.85246867	0.07594703	0.01795158
a31	0.5116962	0.16043189	0.14821176	0.17966013
a11	0.5431994	0.10044097	0.26813957	0.08822005
a18	0.6533548	0.14829174	0.13258553	0.06576792
a13	0.5735151	0.1535593	0.14980994	0.12311566
</S>	0.5065654	0.1753895	0.16832303	0.14972216
