 	non	sono	ancora	vestita	</S>
a31	0.07383757	0.10389079	0.17537701	0.3885925	0.2583021
a23	0.10127175	0.059883766	0.12803756	0.14974134	0.5610656
a31	0.050046317	0.032499053	0.4044037	0.43606842	0.07698258
a7	0.045923416	0.045117803	0.37393075	0.5052864	0.029741691
a31	0.0052099726	0.030369671	0.3678921	0.5955974	0.00093087653
a13	0.1280033	0.39293596	0.22215538	0.12900281	0.12790251
a31	0.5126903	0.079359144	0.09523078	0.11321777	0.19950202
a37	0.22618409	0.15082577	0.11439519	0.07893241	0.42966264
a18	0.50444573	0.15919721	0.042057734	0.0473449	0.24695447
a31	0.4047964	0.24383298	0.0769535	0.08564078	0.18877636
a46	0.19544828	0.25227842	0.20793936	0.19896436	0.14536954
a8	0.29333234	0.19694003	0.16748676	0.16816923	0.17407167
</S>	0.3224552	0.19664726	0.15861987	0.15970942	0.1625683
