 	qui	dentro	vuole	un	tappeto	</S>
a31	0.14644077	0.055687062	0.6451467	0.111681566	0.028160177	0.0128836725
a18	0.72308487	0.013508629	0.16361046	0.026198426	0.057246972	0.016350618
a10	0.05004107	0.005439684	0.046999637	0.11929215	0.6677335	0.110493936
a31	0.19136083	0.0241806	0.16839424	0.28685954	0.26660004	0.062604785
a14	0.21937798	0.014383049	0.060868073	0.24030253	0.16575302	0.2993153
a31	0.11204286	0.009515608	0.30133545	0.29157674	0.18422937	0.10130003
a39	0.10686581	0.04970366	0.5311486	0.07481811	0.18983424	0.047629543
a31	0.24527879	0.034435865	0.24567442	0.112957805	0.18048438	0.18116865
a39	0.12100936	0.08756384	0.34714046	0.06812017	0.33111298	0.045053206
a33	0.093304336	0.088963896	0.23397547	0.08622134	0.41358268	0.08395233
a31	0.17846374	0.22923459	0.2157995	0.08346928	0.1984916	0.09454124
</S>	0.3569441	0.13498135	0.13332203	0.103655785	0.1472549	0.12384175
