 	che	non	li	aspetiamo	</S>
a20	0.23154928	0.11363235	0.15417302	0.19342865	0.30721667
a8	0.4963986	0.083424054	0.09601807	0.31853104	0.0056283427
a7	0.49876443	0.0043636677	0.035390552	0.46131685	0.0001644309
a35	0.07005315	0.03209098	0.04761645	0.82795465	0.022284765
a46	0.70874757	0.12861444	0.053534262	0.024702875	0.08440084
a31	0.6218066	0.14595883	0.024731575	0.019395493	0.18810746
a11	0.68212193	0.20712164	0.026928656	0.039586447	0.04424129
a31	0.48461494	0.298664	0.065573245	0.017831616	0.13331626
a0	0.49637944	0.1402615	0.05176473	0.07800461	0.23358966
a31	0.23984177	0.18965375	0.047832496	0.022608051	0.5000639
a30	0.09442706	0.06208963	0.060969945	0.048040964	0.73447245
a0	0.17481653	0.059876833	0.052701216	0.35854703	0.35405838
a31	0.16632518	0.07302987	0.062979944	0.30936494	0.38830006
</S>	0.1323368	0.15282302	0.14090402	0.2145929	0.3593433
