 	non	ti	dimentichiamo	mai	</S>
a8	0.22166704	0.13705908	0.11641307	0.34959096	0.1752698
a31	0.048569538	0.5650176	0.25705588	0.0057871398	0.123569876
a20	0.0005141553	0.023124285	0.97635776	3.7400366e-07	3.4505524e-06
a31	0.036956295	0.2159204	0.666695	0.034651052	0.045777224
a13	0.042324804	0.8147605	0.1308873	0.0046666167	0.007360716
a31	0.10849272	0.2667357	0.49160996	0.036748897	0.09641273
a13	0.13803573	0.74902254	0.092512265	0.0055852667	0.0148443
a1	0.3294244	0.5754624	0.051926088	0.0048113745	0.03837581
a31	0.36851057	0.43926248	0.08298414	0.020023568	0.089219205
a41	0.22199993	0.45977744	0.09064164	0.12022045	0.10736055
a15	0.5743712	0.27935228	0.057081062	0.033099562	0.056095865
a13	0.4674063	0.21948005	0.06947931	0.11982186	0.12381254
a31	0.3508103	0.22520265	0.15736109	0.092629105	0.17399691
a11	0.12514037	0.30237293	0.36222446	0.12456788	0.08569439
a31	0.30680013	0.20382679	0.1678947	0.1573622	0.16411619
a46	0.17866638	0.21891999	0.37728998	0.1600401	0.06508348
a31	0.22275703	0.20262383	0.19419098	0.1892015	0.19122666
a46	0.20130387	0.24382685	0.30636334	0.17847261	0.07003326
a31	0.21076086	0.20661895	0.19745901	0.19167864	0.19348253
</S>	0.20040347	0.23702689	0.29912758	0.18583813	0.077604026
