 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
a23	0.025428344	0.003883463	0.05563253	0.031588733	0.029213352	0.015063266	0.81623954	0.0024281705	0.020522587
a31	0.18429607	0.008377877	0.29929444	0.19323239	0.021032434	0.024715327	0.011346656	0.2246365	0.033068303
a24	0.0017011184	0.00016879423	0.8093277	0.07921218	0.013552692	0.03772792	0.028874908	0.029413765	2.0974601e-05
a31	0.051526472	0.06895066	0.116871156	0.08968379	0.13019146	0.3558179	0.0016869102	0.16268517	0.022586413
a35	0.0017314648	0.0018830978	0.23543763	0.004324125	0.07163798	0.49386597	0.004627645	0.18358451	0.0029075122
a28	0.2347486	0.08188145	0.13619469	0.019596769	0.07103069	0.14237924	0.010206422	0.27999756	0.023964573
a37	0.09922824	0.016525174	0.083195806	0.021178957	0.034002595	0.07661397	0.0019041692	0.6397947	0.02755642
a39	0.3204838	0.008749536	0.100397535	0.04339983	0.010408015	0.0068509937	0.020082034	0.4791069	0.010521324
a20	0.34753686	0.0081992345	0.14256221	0.06924563	0.007933219	0.004882613	0.022971429	0.38232628	0.014342561
a31	0.37261653	0.0061516683	0.17126234	0.11867771	0.008256797	0.005322556	0.027644003	0.27780494	0.012263385
a44	0.037412956	0.00036603562	0.03341895	0.0033775512	0.00062998047	0.0005961038	0.0023373512	0.9196586	0.0022024831
a31	0.21129178	0.0038047389	0.13450749	0.16717075	0.029285634	0.0118368	0.3463465	0.082100384	0.013655918
a34	0.008259928	0.00041773237	0.013291349	0.004717527	0.003683093	0.0016828194	0.00046685396	0.96635413	0.0011266046
a31	0.26729256	0.0016804686	0.12126527	0.24040379	0.015634775	0.009777239	0.27402553	0.05445687	0.015463503
a18	0.043356847	0.005658572	0.06725161	0.0670793	0.08596822	0.022759767	0.012853665	0.56520414	0.12986794
a31	0.26760134	0.0025841482	0.15642339	0.14668518	0.011451859	0.008905934	0.29985482	0.096971855	0.00952149
a18	0.041382935	0.006618674	0.060687415	0.10048619	0.10522329	0.030038841	0.041615564	0.27065167	0.34329537
a7	0.2729502	0.004642964	0.23106293	0.13534403	0.017135011	0.016529638	0.19020027	0.12003174	0.012103149
a17	0.17247826	0.00256922	0.1093903	0.19074823	0.017060861	0.013553184	0.43372777	0.044184696	0.016287353
a31	0.11164746	0.004901565	0.060882088	0.20506695	0.019944418	0.022979846	0.51872015	0.03391411	0.021943422
a24	0.07546469	0.010832928	0.072074726	0.15118068	0.02135582	0.016656626	0.18108493	0.24318472	0.22816479
a31	0.19894254	0.03292028	0.196081	0.20781031	0.037624113	0.048332985	0.15590122	0.080857344	0.041530203
a43	0.07464323	0.01639519	0.05813575	0.13270755	0.019567756	0.023117661	0.14248036	0.26065224	0.2723003
a39	0.16787061	0.05918766	0.16874284	0.22900727	0.062291812	0.07065308	0.09395554	0.08414221	0.06414902
a31	0.1098214	0.05476414	0.12874883	0.15650682	0.06379562	0.074026935	0.27265278	0.07118952	0.068493895
</S>	0.056957506	0.019644605	0.04435711	0.10163403	0.021499462	0.02605189	0.11244176	0.30124745	0.3161662
