 	deve	essere	bianco	</S>
a31	0.0022492844	0.0022108378	0.9673208	0.028219033
a11	0.6099383	0.04644892	0.24419658	0.099416174
a31	0.027968777	0.027487308	0.015233387	0.9293105
a37	0.48362046	0.11549535	0.014393524	0.3864907
a31	0.015859649	0.16740483	0.593098	0.2236376
a37	0.050940976	0.050742082	0.27955136	0.6187656
a31	0.17209588	0.04274696	0.2000666	0.5850905
a20	0.11935046	0.0565181	0.701148	0.12298343
a31	0.17621253	0.053970955	0.71408355	0.05573295
a0	0.028638784	0.014026978	0.89842975	0.058904473
a31	0.18499899	0.046654075	0.72961295	0.038733985
a20	0.025416972	0.023417309	0.8053671	0.1457986
a18	0.2801879	0.046542373	0.63232434	0.040945373
</S>	0.36246777	0.08551739	0.48286352	0.06915127
