 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
a31	0.0014562347	0.008479304	0.006229641	0.009156167	0.007086061	0.018978227	0.029360767	0.0036824387	0.004620355	0.0010027348	0.71337897	0.007563068	0.027794717	0.16121127
a15	0.0024999343	0.015631117	0.012028157	0.008705504	0.0048460136	0.0132497605	0.05598626	0.049064368	0.7244121	0.061944906	0.012033594	0.023101073	0.015255967	0.0012411634
a20	0.029779648	0.2844574	0.19020799	0.16173877	0.115275584	0.037476182	0.018588085	0.023648772	0.0752299	0.03444642	0.004134879	0.019139217	0.0040545515	0.0018226438
a31	0.018025259	0.12021477	0.07334228	0.088020176	0.09102602	0.2344196	0.085672215	0.07440992	0.07515985	0.0439336	0.022177262	0.06470434	0.0048841145	0.004010557
a39	0.0049812254	0.052255414	0.009943111	0.011598596	0.016126798	0.07563639	0.20298605	0.19188517	0.14248942	0.027445119	0.100730725	0.15367512	0.0045791403	0.0056676944
a31	0.015911542	0.0015558752	0.056200713	0.027927596	0.055916987	0.22307873	0.28590983	0.023535432	0.13655008	0.0058461316	0.11482715	0.013629995	0.014391559	0.024718422
a15	0.039155435	0.09051664	0.07121108	0.03509067	0.09466145	0.06943607	0.2198115	0.094658926	0.119959	0.046654448	0.07212447	0.032614317	0.0068590185	0.007247027
a31	0.008087787	0.0015637198	0.03679929	0.01740226	0.043250218	0.19089864	0.3657577	0.030232992	0.11354756	0.0029316896	0.124639	0.010700291	0.014507457	0.0396814
a18	0.04953312	0.076067746	0.083503455	0.042458326	0.11134956	0.07372507	0.18977958	0.054215614	0.13238178	0.05289611	0.07444395	0.03936675	0.010697823	0.009581038
a8	0.008859956	0.0047452427	0.026645843	0.012442079	0.043375798	0.13205281	0.23644885	0.060516674	0.061970282	0.0030422597	0.34881747	0.004241852	0.007889546	0.04895142
a31	0.053325072	0.030325726	0.12913649	0.096760646	0.21971382	0.10911438	0.1856709	0.018765762	0.09336386	0.020488987	0.03411854	0.004128322	0.0018232521	0.003264221
a3	0.04308409	0.028879894	0.0748262	0.046937894	0.12749726	0.11873786	0.16924615	0.027371136	0.14974943	0.07163422	0.038828213	0.05801066	0.024804497	0.020392574
a31	0.013846708	0.009811934	0.03152336	0.01512193	0.06122963	0.10407686	0.1833136	0.04794451	0.050141826	0.004901391	0.42717317	0.0031337147	0.0067212167	0.04106014
a39	0.035491996	0.033118732	0.06883939	0.049506325	0.10009456	0.07332376	0.09754581	0.013213507	0.15100515	0.060417466	0.024789557	0.19407184	0.05877704	0.039804913
a31	0.031296752	0.042295992	0.0484339	0.027004046	0.1061955	0.09124102	0.12742245	0.089765996	0.11416042	0.0127813555	0.29051915	0.0028935587	0.0035651033	0.012424745
a17	0.015209525	0.028116217	0.037043888	0.036156826	0.062228285	0.05557357	0.06451973	0.011881937	0.2077224	0.058395162	0.017571203	0.23729114	0.101005904	0.06728418
