 	è	pericoloso	di	nuotare	di	notte	</S>
a37	0.03866885	0.04501212	0.22693354	0.120583504	0.14423369	0.1363521	0.2882162
a31	0.09314016	0.073098324	0.38958326	0.0036199393	0.088322796	0.15388441	0.19835113
a7	0.033124354	0.039901264	0.18580256	3.4163822e-05	0.46526432	0.27585065	2.2606982e-05
a31	0.014338428	0.018960608	0.15189259	0.14761299	0.44832167	0.18636271	0.032511067
a20	0.11697612	0.3401809	0.27984172	0.059085608	0.08113006	0.053199694	0.06958594
a2	0.015659828	0.0864754	0.20311384	0.08885886	0.41196996	0.17290932	0.02101276
a41	0.09045163	0.7097352	0.10145842	0.0063758427	0.05358218	0.023673028	0.014723708
a20	0.042543646	0.34027892	0.3705364	0.009057876	0.1850599	0.0330569	0.019466424
a46	0.1690507	0.6407027	0.12793857	0.008144336	0.030170893	0.009968394	0.014024481
a31	0.4035072	0.209328	0.12360686	0.066276416	0.040629882	0.043344013	0.113307595
a11	0.11254281	0.46851268	0.2453037	0.012786815	0.05570242	0.091571726	0.013579858
a35	0.6056601	0.08478552	0.032304995	0.029525721	0.069774866	0.11926473	0.058683973
a31	0.34606498	0.10272755	0.08134886	0.074100204	0.12360408	0.13086931	0.14128502
a11	0.16486238	0.30242836	0.17079172	0.054071117	0.17245002	0.087265484	0.048130848
a28	0.3618357	0.0923338	0.0712914	0.06828113	0.09390634	0.23883149	0.07352021
a20	0.14577372	0.13490328	0.12610613	0.070458904	0.2083819	0.26208383	0.052292243
a10	0.17502315	0.10134298	0.09479867	0.08823054	0.1425343	0.3069626	0.091107704
a31	0.16036575	0.11402366	0.11026413	0.102184616	0.1384096	0.27180454	0.102947764
</S>	0.111229114	0.23706506	0.11553738	0.080351606	0.11087052	0.10270895	0.24223739
