 	e	che	cucino	</S>
a31	0.14386609	0.11875594	0.18057384	0.5568041
a24	0.52827567	0.36606967	0.03165766	0.07399703
a31	0.102551274	0.5702743	0.13746533	0.1897092
a11	0.13012397	0.8656463	0.0030525967	0.0011771648
a46	0.09152531	0.88805956	0.011615349	0.008799724
a41	0.7439499	0.16964304	0.031624336	0.054782726
a20	0.83093303	0.11351753	0.027776886	0.027772488
a36	0.6580996	0.14693236	0.050864927	0.14410308
a31	0.5194469	0.23022725	0.09309441	0.15723148
a46	0.25789434	0.23001869	0.28610513	0.22598183
</S>	0.2743757	0.27418947	0.22909826	0.22233656
