 	ancora	non	mi	sono	vestito	</S>
a8	0.10026799	0.05707815	0.088101044	0.067719564	0.13624525	0.55058795
a31	0.31487828	0.19217181	0.10443976	0.023341851	0.21343638	0.15173197
a10	0.05372279	0.015562552	0.1403447	0.007980749	0.7823739	1.5313644e-05
a31	0.08315289	0.033584148	0.47342333	0.09553346	0.3072101	0.007096049
a18	0.58322275	0.11472853	0.12005149	0.013419681	0.1393654	0.029212184
a31	0.036447212	0.05909318	0.3910411	0.2811534	0.2221232	0.010141944
a20	0.070685714	0.20299317	0.32890335	0.117569394	0.25275704	0.027091319
a31	0.12843767	0.112814724	0.29002562	0.15361074	0.2597312	0.055380028
a13	0.09969412	0.16201285	0.36242968	0.11115404	0.2041124	0.06059696
a35	0.3939991	0.15215623	0.20455927	0.12008595	0.035559617	0.09363977
a39	0.6077624	0.04161545	0.04132311	0.052991856	0.021349069	0.23495817
a46	0.27888924	0.070354514	0.108735904	0.22501895	0.08290436	0.23409694
a31	0.16187076	0.092666365	0.15429033	0.33016533	0.12276721	0.13824007
a20	0.1803747	0.116980046	0.2288773	0.1543957	0.30979502	0.009577212
a31	0.4258857	0.112772524	0.15083523	0.19886227	0.073281355	0.038362846
a39	0.027374215	0.070541516	0.17692985	0.5238605	0.14894184	0.052352063
a31	0.25606766	0.16048896	0.15761253	0.15426922	0.13895999	0.1326016
</S>	0.076184474	0.14875142	0.17130853	0.28363526	0.16577275	0.15434752
