 	non	ha	che	li	aspettiamo	</S>
a46	0.20889717	0.13436653	0.47848698	0.026769148	0.015766364	0.13571386
a31	0.045661338	0.1705305	0.59600914	0.036945496	0.0029685476	0.14788504
a15	0.029485276	0.92496926	0.038687833	0.006638187	1.4236808e-05	0.00020520006
a31	0.088831246	0.38884157	0.4962675	0.024044648	0.0006615461	0.0013535897
a28	0.3099298	0.10144602	0.5362877	0.043563165	0.0007497687	0.008023476
a20	0.08402476	0.42942178	0.46799192	0.01719485	0.00022762577	0.0011391476
a11	0.21969026	0.52758485	0.21949238	0.01577108	0.0068528694	0.010608569
a31	0.33124226	0.19448322	0.31764397	0.094664134	0.031279795	0.030686611
a11	0.5357231	0.21607387	0.12016073	0.004283243	0.017242813	0.10651622
a31	0.33503008	0.21704319	0.117133595	0.03268884	0.18462847	0.11347587
a46	0.3062533	0.44115114	0.0879441	0.009899157	0.05274933	0.102002926
a31	0.37681168	0.19675654	0.07821182	0.06401886	0.20552334	0.07867774
a11	0.19178244	0.36929965	0.1210309	0.03127635	0.14330018	0.14331058
a31	0.33137196	0.17277575	0.10893816	0.100415215	0.17894153	0.107557334
a11	0.1758531	0.31183416	0.13574523	0.03594065	0.17371786	0.16690898
a46	0.26100472	0.17430991	0.13734846	0.12766391	0.16610418	0.1335688
</S>	0.20022054	0.1822987	0.15312548	0.14385301	0.16753703	0.15296522
