 	è	che	è	entrato	da	qui	</S>
a31	0.21957445	0.12492639	0.04915515	0.03304769	0.09567811	0.1783341	0.2992841
a7	0.30293602	0.09549993	0.08765907	0.038976606	0.031030793	0.31794629	0.12595128
a18	0.21596871	0.40318358	0.3187392	0.014306202	0.020679452	0.0037221606	0.023400562
a31	0.24757014	0.33237344	0.35099104	0.039587427	0.006653072	0.0043505514	0.018474324
a46	0.25102192	0.3021369	0.15397052	0.04502301	0.08135992	0.13416567	0.03232209
a31	0.7735492	0.093865074	0.032096222	0.02549512	0.0123276925	0.045007586	0.017659178
a39	0.5015698	0.10907374	0.03840976	0.021098055	0.090517975	0.14412928	0.095201336
a28	0.50571716	0.1138243	0.021134842	0.032339223	0.04367326	0.11895943	0.16435184
a31	0.32126114	0.052660342	0.028068004	0.032719888	0.08281712	0.19189599	0.29057756
</S>	0.14004934	0.052683443	0.039235856	0.22747129	0.09412498	0.1641373	0.2822978
