 	stava	ancora	cucinando	</S>
a8	0.20859064	0.063669115	0.10052156	0.6272187
a46	0.8145804	0.10167946	0.043359865	0.040380355
a24	0.9424517	0.04772725	0.008570328	0.0012508052
a37	0.15754373	0.7484803	0.0768113	0.017164648
a20	0.32794708	0.6415286	0.008113054	0.022411242
a31	0.4448853	0.37536806	0.102599956	0.077146634
a37	0.90130126	0.086620726	0.005953767	0.006124293
a31	0.08483869	0.10340018	0.18119697	0.63056415
a20	0.29887095	0.5000442	0.036549337	0.16453548
a31	0.12795942	0.118558876	0.16844894	0.58503276
a6	0.027783494	0.13410954	0.09063305	0.7474739
a31	0.25167248	0.21810994	0.20810924	0.32210836
a20	0.15459925	0.19130225	0.214096	0.44000253
a46	0.25089487	0.24339095	0.24751775	0.2581964
a31	0.24847566	0.23960981	0.24008605	0.27182853
</S>	0.21804902	0.23402616	0.3309615	0.21696334
