 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
a23	0.010835101	0.041735467	0.018581532	0.025340796	0.065719746	0.67711216	0.06860035	0.09207482
a31	0.094315626	0.5209297	0.3054233	0.041236587	0.01081151	0.005120084	0.012555249	0.009607962
a37	0.017712083	0.9169431	0.017017795	0.0009069394	7.4116037e-06	0.046476502	0.00093567657	5.607913e-07
a20	0.087872826	0.3158859	0.29171365	0.07875618	0.06997643	0.033903316	0.09772776	0.024163945
a31	0.13476115	0.1855048	0.23413078	0.04995097	0.20444468	0.06856577	0.089575686	0.033066146
a7	0.021890076	0.15956207	0.11533351	0.031927023	0.07756784	0.5267751	0.027494457	0.039449852
a10	0.093163215	0.11380161	0.20957746	0.1297321	0.22035323	0.19039817	0.011263051	0.031711094
a41	0.13680997	0.59096164	0.20688497	0.041797668	0.006382723	0.0078217825	0.0022839943	0.0070572523
a37	0.29743972	0.36530486	0.22357103	0.06544711	0.012090228	0.024225686	0.003829523	0.00809186
a14	0.4267838	0.40530542	0.10707923	0.029102696	0.005782595	0.017814128	0.0031429653	0.004989194
a31	0.39834088	0.316102	0.16182216	0.043596517	0.018904632	0.032842945	0.014102047	0.014288811
a20	0.09632397	0.7284592	0.063049346	0.010191586	0.0042229313	0.0885259	0.006750504	0.0024765837
a31	0.3067897	0.30074912	0.11756498	0.020639662	0.06410284	0.07656697	0.047496833	0.06608989
a37	0.051739305	0.21098414	0.2851742	0.1670143	0.026855825	0.0317256	0.05427655	0.17223014
a7	0.24412692	0.2420793	0.15626477	0.02639932	0.0749179	0.1825875	0.049859934	0.02376434
a10	0.1840268	0.29910463	0.20087025	0.021684553	0.07501393	0.083324455	0.064454496	0.071520925
a7	0.13590981	0.27822012	0.21762818	0.028029354	0.07916654	0.11936806	0.08175593	0.059921943
a39	0.16933441	0.2445999	0.16136505	0.031237207	0.096055456	0.113684446	0.0985722	0.08515124
a10	0.120464996	0.16433235	0.08536547	0.0436074	0.14028288	0.2159321	0.1402326	0.08978224
a32	0.10766196	0.13951321	0.11194753	0.070907936	0.112290755	0.2586043	0.11460382	0.08447052
a19	0.10815694	0.15221651	0.20405217	0.078772716	0.047142785	0.054095153	0.124166794	0.23139699
a31	0.14140978	0.17375465	0.18549326	0.08427649	0.09838403	0.1433482	0.08988159	0.08345191
</S>	0.12545218	0.061235733	0.057128083	0.05116886	0.038387794	0.033982463	0.2701739	0.36247098
