 	sto	e	cucino	</S>
a31	0.20871212	0.080506526	0.2863408	0.4244405
a20	0.54762185	0.12620443	0.0957883	0.23038542
a31	0.18872201	0.56171244	0.067565165	0.18200038
a37	0.22482158	0.7665867	0.0035151865	0.0050765844
a18	0.020578256	0.96244276	0.010250651	0.0067283013
a31	0.55064607	0.29507652	0.079996176	0.0742813
a20	0.058621187	0.30671808	0.46722916	0.16743158
a31	0.381664	0.20345399	0.21140783	0.20347416
a28	0.031273443	0.2138469	0.54282475	0.21205488
a33	0.227284	0.2440877	0.310872	0.2177563
a31	0.25591776	0.25199288	0.24952306	0.24256626
</S>	0.1675943	0.23676454	0.43619153	0.15944962
