 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
a8	0.005189776	0.04465676	0.0038195474	0.0022323034	0.0033180248	0.004634947	0.05956174	0.12529817	0.7512888
a23	0.08175936	0.33512592	0.1488419	0.068234466	0.12843554	0.058577377	0.07466988	0.045364052	0.0589915
a31	0.0063884887	0.0007026034	0.21688654	0.033319797	0.1289094	0.054286312	0.4879096	0.07143066	0.00016657448
a28	0.11601374	0.0054366114	0.8633253	0.0027788475	0.00033695495	0.0011278954	0.006200853	0.004774528	5.4024295e-06
a20	0.016785843	0.1799684	0.19289781	0.031150807	0.12399624	0.27500182	0.14883976	0.01781168	0.013547699
a31	0.116318464	0.19906814	0.54489416	0.0585685	0.023907263	0.022910407	0.009106377	0.0036744175	0.021552198
a8	0.07098628	0.2629535	0.62904227	0.0019224631	0.0026786	0.009483311	0.021341069	0.0008168006	0.00077563716
a31	0.13499917	0.1936516	0.262847	0.07935003	0.038889583	0.021449296	0.067184344	0.013074382	0.18855457
a20	0.29576978	0.39495945	0.14347671	0.04550334	0.052296862	0.054767087	0.008621419	0.0021141502	0.0024911324
a31	0.04793315	0.6104417	0.097081065	0.020580688	0.014889908	0.009167249	0.036374517	0.015594434	0.14793724
a36	0.10913663	0.1770959	0.09670482	0.14532572	0.27526423	0.14073892	0.030817064	0.020376334	0.004540413
a24	0.16207658	0.28651914	0.06611286	0.05569768	0.028478589	0.031450015	0.036491077	0.023650592	0.30952346
a37	0.075455666	0.48802778	0.28086215	0.051306743	0.027187211	0.012854962	0.022199906	0.00787493	0.03423073
a27	0.029421102	0.64137214	0.2435368	0.022334546	0.008174497	0.008500828	0.014408472	0.008407963	0.023843573
a8	0.07418772	0.22157064	0.1464702	0.023920411	0.026662558	0.064685956	0.14557867	0.0857257	0.21119809
a23	0.033257123	0.20884079	0.07485837	0.008302832	0.021146694	0.07745281	0.18193959	0.108687095	0.28551468
a31	0.027169544	0.129963	0.03290363	0.00611627	0.018260682	0.077439584	0.18384404	0.14448069	0.37982258
a37	0.0379054	0.518975	0.3878408	0.007697557	0.0018874328	0.007013573	0.018593773	0.0078067654	0.01227961
a29	0.1529934	0.032064263	0.11316843	0.062741436	0.06357662	0.14846231	0.102255344	0.08096319	0.24377498
a31	0.13511942	0.13623765	0.08243207	0.02881972	0.029785924	0.19570383	0.103328325	0.05878191	0.2297911
a13	0.060650118	0.22314836	0.61970586	0.035962664	0.011677996	0.021612024	0.0074749007	0.010218928	0.009549099
a31	0.14283071	0.02972483	0.13894947	0.057810843	0.06805289	0.21995077	0.14109938	0.066660546	0.1349205
a8	0.0304058	0.03476501	0.15202554	0.101248436	0.04395119	0.07331898	0.14000067	0.30516964	0.119114734
a31	0.08573413	0.06591707	0.18449348	0.08784262	0.08241795	0.16936436	0.15179929	0.08042463	0.09200649
a21	0.03415593	0.023070496	0.08276814	0.04172176	0.027827693	0.03791954	0.20749095	0.33388916	0.2111564
a31	0.093703605	0.08043348	0.20761633	0.102944694	0.0883143	0.12953204	0.12114126	0.08594971	0.09036465
a29	0.03645888	0.024555331	0.080344774	0.03953937	0.027728835	0.0332394	0.19420283	0.34926552	0.21466506
a31	0.09673032	0.07773107	0.24859999	0.10760115	0.08404445	0.11496062	0.10764385	0.079921976	0.082766555
a46	0.037972048	0.022896787	0.09591288	0.044630352	0.02770575	0.032798138	0.1926696	0.33578306	0.2096313
a31	0.10457481	0.094022095	0.18414743	0.11041678	0.097792126	0.11079355	0.10740488	0.09512477	0.09572358
a49	0.03677242	0.023928909	0.07244127	0.039076377	0.028342446	0.032647602	0.19590096	0.3539738	0.2169162
a3	0.10389617	0.08445716	0.19619395	0.108814776	0.100505814	0.11911573	0.11201994	0.088332586	0.08666391
a18	0.10571156	0.08562661	0.16069175	0.11072182	0.099115506	0.13523087	0.11577372	0.09301686	0.09411134
a31	0.1725219	0.08640665	0.13080291	0.113717265	0.1001723	0.13046753	0.09316804	0.08818955	0.08455376
a8	0.03374891	0.018779477	0.059988968	0.053253215	0.036511254	0.045233622	0.20347221	0.34953985	0.1994724
</S>	0.109979294	0.10384586	0.13690904	0.11092161	0.105982736	0.11254229	0.11012371	0.10470146	0.10499403
