 	non	ho	cosa	è	da	mangiare	</S>
a31	0.035936743	0.015427954	0.11326027	0.16609977	0.03458304	0.24016148	0.39453077
a8	0.078966394	0.008475441	0.01083951	0.0072102384	0.092142336	0.69533753	0.10702857
a31	0.06086253	0.08355236	0.29085955	0.22147441	0.14920565	0.16353698	0.030508487
a37	0.018938644	0.06222879	0.06337073	0.1971435	0.22662076	0.42615995	0.0055376203
a20	0.066534184	0.077979974	0.31367454	0.44114166	0.058427256	0.036890294	0.0053521227
a31	0.27994314	0.20063345	0.11826518	0.23055665	0.10732939	0.042133495	0.021138746
a17	0.036840968	0.02865322	0.09227127	0.28176314	0.3536893	0.18725273	0.01952944
a20	0.30091667	0.110977575	0.022609983	0.08490886	0.08435469	0.15189885	0.2443334
a31	0.38336354	0.055485327	0.012499085	0.03980536	0.11383417	0.19440487	0.20060767
a39	0.05968217	0.070033126	0.06736484	0.0824778	0.10473468	0.163051	0.45265648
a35	0.4439371	0.116704635	0.058135767	0.12450945	0.11416328	0.081806816	0.060742896
a39	0.24654046	0.12704863	0.1276817	0.14628507	0.10018124	0.10955097	0.14271198
a46	0.1677675	0.12405889	0.15701249	0.16196941	0.11693577	0.1310408	0.14121512
a35	0.15624042	0.12037682	0.17768939	0.17886455	0.11627334	0.12695086	0.123604596
a31	0.15308656	0.11056252	0.19575812	0.195754	0.11038595	0.123486884	0.110966034
</S>	0.029085808	0.039874732	0.0401272	0.04200172	0.2152781	0.34721583	0.28641662
