 	non	ci	dimentichiamo	mai	</S>
a31	0.115837924	0.0855252	0.34133008	0.30467057	0.15263624
a20	0.4265723	0.07083489	0.18484846	0.26397738	0.05376699
a31	0.17142652	0.25822106	0.26107138	0.058607854	0.2506732
a11	0.6894961	0.17495458	0.08609463	0.0236196	0.025835091
a20	0.18042918	0.20356546	0.53653485	0.014524039	0.06494651
a31	0.76993746	0.08130326	0.09532603	0.009432616	0.04400067
a11	0.56132376	0.16932325	0.13623422	0.06765483	0.06546397
a31	0.61575973	0.07665501	0.07298098	0.12159118	0.11301316
a18	0.29620776	0.22669922	0.14276104	0.26464826	0.069683746
a42	0.5982625	0.1178705	0.17182668	0.037980597	0.07405977
a31	0.3766758	0.16417532	0.13133736	0.1827847	0.14502688
a18	0.24259262	0.1364002	0.41441107	0.13517825	0.07141786
a31	0.29709828	0.16834645	0.23899762	0.1342541	0.16130355
a39	0.08372229	0.09906209	0.55380905	0.13438272	0.12902378
a31	0.23385906	0.16674976	0.2765358	0.14754795	0.17530744
a20	0.047220085	0.07935133	0.57418966	0.12514304	0.17409585
a39	0.2087546	0.17187643	0.28004393	0.15786594	0.18145911
a31	0.2163921	0.20426023	0.22183067	0.17477034	0.18274668
a14	0.07321516	0.094785765	0.5592177	0.12078278	0.1519986
a46	0.22424124	0.2036695	0.2250648	0.16980845	0.17721593
a20	0.22134127	0.21976376	0.19577384	0.18191831	0.18120286
a31	0.20382015	0.20190948	0.2028707	0.19521423	0.19618547
</S>	0.17914328	0.1847742	0.31349844	0.17921026	0.1433738
