 	l'	ho	sentito	che	viene	</S>
a34	0.38600528	0.26067036	0.019906484	0.13556989	0.19642948	0.0014184896
a46	0.16040587	0.17055278	0.2482513	0.19709103	0.16732433	0.056374654
a41	0.16942847	0.017554468	0.18782228	0.29373443	0.28141415	0.050046194
a19	0.16096546	0.025981257	0.13638598	0.24743436	0.2523545	0.1768784
a31	0.17230454	0.092360966	0.11971152	0.23343925	0.17640322	0.20578046
a20	0.27105168	0.2087446	0.03683711	0.14921235	0.27605313	0.05810116
a31	0.20763454	0.10309677	0.018123016	0.036828782	0.1776392	0.4566777
a24	0.37135088	0.29155728	0.25311762	0.017439084	0.039651804	0.026883284
a31	0.19285895	0.086296946	0.06802475	0.083405934	0.17611025	0.3933032
a23	0.15910257	0.12237549	0.45170313	0.07112264	0.07662446	0.11907166
a20	0.10842874	0.112740315	0.40675226	0.17299752	0.107647344	0.0914339
</S>	0.13478637	0.27053556	0.34327903	0.10103547	0.077475734	0.07288786
