 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
a31	0.012709293	0.00293014	0.009386844	0.018311229	0.031880908	0.075469196	0.07371814	0.35992736	0.41566688
a18	0.10887066	0.0028544941	0.016463367	0.024369687	0.11078547	0.60458356	0.117810234	0.0074491524	0.0068133837
a24	0.09625924	0.027057823	0.020623766	0.02879859	0.109338194	0.32275677	0.36520624	0.017387236	0.01257214
a31	0.11475862	0.039980482	0.017675081	0.010965115	0.10267656	0.52314955	0.078197844	0.0472975	0.06529925
a37	0.11253269	0.107816994	0.13511345	0.052859433	0.11033928	0.44021332	0.023025768	0.00901518	0.009083825
a0	0.44214788	0.010643956	0.045488313	0.06436174	0.24145266	0.1505716	0.004464447	0.020461973	0.020407483
a28	0.3251348	0.018618565	0.03786263	0.060330305	0.22387676	0.30182734	0.009922309	0.0122842165	0.01014307
a18	0.44147474	0.04859685	0.055199366	0.05172072	0.20985062	0.117738545	0.009593173	0.03691899	0.028906973
a31	0.38742587	0.0061757625	0.04418995	0.08150021	0.30903223	0.112938374	0.014294206	0.025472023	0.018971452
a37	0.10438782	0.1827228	0.3600475	0.08405157	0.09219435	0.12892732	0.026402788	0.011619671	0.009646265
a20	0.2906319	0.023498755	0.08191632	0.09396679	0.17188393	0.0432808	0.0143711325	0.13602377	0.14442667
a31	0.30082944	0.0065585542	0.048030593	0.09348369	0.3698815	0.08387947	0.020048764	0.046215504	0.031072456
a24	0.046585333	0.1209616	0.38647366	0.13531303	0.109746754	0.0359164	0.016631912	0.07915263	0.06921866
a31	0.3265128	0.03459934	0.15058161	0.107365295	0.12913433	0.05116563	0.022298189	0.07730976	0.10103307
a20	0.02415354	0.18499188	0.22366565	0.03910275	0.0303582	0.045755267	0.023999656	0.18597186	0.24200127
a31	0.25931197	0.077931486	0.2603686	0.13410015	0.12555015	0.050361473	0.025250223	0.0337098	0.0334161
a18	0.05063576	0.3769994	0.2521687	0.034482084	0.042350795	0.038482368	0.022675019	0.06639196	0.11581382
a41	0.20428933	0.10099794	0.3435897	0.127603	0.102367945	0.046032198	0.030164365	0.023197534	0.021758009
a35	0.1881409	0.07554488	0.3260893	0.13502517	0.096887276	0.048796196	0.03195381	0.0437136	0.053848904
a24	0.12051672	0.08280678	0.1906674	0.08207435	0.077451035	0.116016574	0.0853238	0.106360085	0.13878322
a28	0.13055187	0.08670345	0.12946378	0.074577	0.084260084	0.16568401	0.12315221	0.09543257	0.110175006
a31	0.11169287	0.11792754	0.13943446	0.08124179	0.08463162	0.15018885	0.11510372	0.09414762	0.10563156
a11	0.024757365	0.27542624	0.4284444	0.03750238	0.0210285	0.038560066	0.0792872	0.04662148	0.048372358
a31	0.13867192	0.08340157	0.2821993	0.12361951	0.09509528	0.07875304	0.066839	0.06533353	0.066086896
a20	0.04661645	0.17997637	0.10615194	0.019970026	0.03474948	0.14633204	0.16145752	0.14962402	0.15512212
</S>	0.119758196	0.10164017	0.19370499	0.11964793	0.10463262	0.09221811	0.09012192	0.08928441	0.08899164
