 	io	voglio	che	Maria	venga	qui	</S>
a31	0.17788386	0.030023001	0.0639044	0.049908344	0.08078397	0.13912262	0.45837384
a39	0.8655488	0.006997759	0.02989749	0.012240617	0.014522569	0.01709288	0.053699978
a31	0.34494457	0.11819552	0.2221131	0.076736405	0.17688467	0.030195296	0.03093054
a37	0.3206174	0.05039793	0.37094823	0.020513926	0.15289858	0.021879444	0.06274451
a31	0.044019185	0.02535095	0.3806908	0.29899633	0.21354249	0.023479046	0.013921147
a11	0.69556093	0.033255678	0.10726141	0.043889042	0.07139565	0.036182385	0.012454954
a20	0.4810539	0.05423952	0.052088317	0.009566332	0.2947353	0.05868758	0.049628984
a4	0.5756095	0.038921528	0.059940144	0.017385317	0.21393557	0.049339473	0.04486844
a24	0.73044753	0.014155206	0.01049811	0.004217708	0.046961766	0.12597378	0.067746036
a31	0.391352	0.015780527	0.012547878	0.006617061	0.039114583	0.33713493	0.197453
a11	0.43017435	0.02448026	0.20035858	0.13039894	0.07408186	0.03997705	0.10052895
a24	0.51160717	0.02764849	0.051880192	0.0478053	0.06574076	0.23590633	0.059411768
a31	0.31829107	0.0770307	0.086259425	0.060115963	0.067269824	0.2786901	0.1123429
a46	0.15154031	0.079629354	0.16471021	0.31984735	0.08573067	0.09647474	0.10206744
a8	0.23293647	0.098266475	0.10465541	0.10465121	0.11908151	0.22803493	0.112373985
</S>	0.23029177	0.11742605	0.12556332	0.12228138	0.11182092	0.17866036	0.11395617
