 	non	ho	dove	d'	andare	</S>
a20	0.196693	0.2580574	0.29947573	0.02634694	0.1739031	0.045523778
a31	0.025297446	0.14917447	0.65961784	0.043909524	0.08263273	0.039368052
a37	0.00067584944	0.10650305	0.5838616	8.417859e-05	0.30884522	3.0238702e-05
a31	0.034107734	0.06951143	0.8284341	0.0031223402	0.056833375	0.007991018
a29	0.025428804	0.031495456	0.93759465	0.0041004955	0.00067331863	0.0007073243
a41	0.05472223	0.16780171	0.7607859	0.0013074367	0.013815851	0.0015668547
a31	0.08220634	0.39816454	0.493687	0.0033125456	0.005535236	0.017094322
a18	0.18295677	0.5045979	0.27531594	0.012023619	0.008534744	0.016570915
a31	0.353033	0.29843062	0.030727474	0.06454113	0.16581012	0.087457664
a39	0.19326228	0.31261513	0.01363556	0.04956584	0.37736067	0.053560544
a31	0.3384644	0.19996785	0.061484423	0.12063832	0.18483636	0.09460868
a8	0.08897813	0.13064165	0.020137142	0.043247927	0.6397011	0.07729404
a31	0.19002703	0.17411074	0.14396398	0.1538067	0.18522047	0.1528711
a8	0.1046422	0.122796394	0.024046024	0.084728256	0.61039615	0.053390987
</S>	0.17625052	0.1698982	0.15553816	0.15915771	0.17896494	0.16019045
