 	non	deve	magniare	la	sera	</S>
a20	0.039257362	0.0098110745	0.006031414	0.4039615	0.25032166	0.29061702
a31	0.102026045	0.011246827	0.00038374067	0.32542053	0.12440101	0.4365219
a18	0.0016595187	2.3379296e-05	0.00038550666	0.99499464	0.0029350817	1.916145e-06
a37	0.010003367	4.0632272e-05	2.4825598e-05	0.98854536	0.000975916	0.00040995795
a18	0.14326644	0.0043615005	0.003529633	0.7072194	0.13982108	0.0018018732
a31	0.48468164	0.017809512	0.010298335	0.28396744	0.13524473	0.06799831
a13	0.7631838	0.015157933	0.0027944748	0.03776364	0.041123684	0.13997641
a31	0.56946117	0.080572896	0.08931033	0.04156914	0.026074402	0.19301207
a17	0.15357086	0.08288874	0.07132126	0.18684539	0.24750915	0.25786456
</S>	0.21040893	0.1344715	0.26092184	0.15898016	0.11676828	0.11844931
