 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.28622422	0.04831222	0.015717234	0.00643714	0.017873632	0.18102309	0.44441247
a46	0.8979821	0.055854876	0.007672546	0.012655996	0.0027710053	0.001823502	0.021240028
a31	0.41138834	0.019940043	0.0025332745	0.0022151999	0.08013024	0.001956374	0.48183653
a17	0.9973471	5.003706e-05	1.0852412e-05	1.04803485e-05	0.0007018103	1.4403308e-05	0.0018653333
a37	0.9330236	0.057308126	0.0051628565	0.0013165227	0.00061888405	0.00055091956	0.002019085
a31	0.77419895	0.1251508	0.021302463	0.0098947445	0.014141729	0.020254543	0.035056703
a39	0.67286944	0.009497861	0.006005075	0.008453972	0.030335702	0.10261027	0.17022768
a31	0.7027945	0.043192808	0.032078765	0.027804995	0.030057946	0.06565785	0.09841308
a37	0.08900598	0.016298974	0.029409336	0.018646065	0.027739825	0.22230062	0.5965993
a31	0.2890995	0.1224449	0.20864125	0.08074087	0.07674282	0.09373826	0.12859237
a46	0.13426436	0.15804194	0.21193978	0.18739828	0.16814174	0.07163812	0.06857566
a31	0.14259566	0.14110248	0.15981841	0.14131336	0.13447744	0.1313733	0.1493193
a46	0.1136127	0.17525935	0.22629602	0.2129848	0.18363765	0.05332461	0.03488486
</S>	0.11598605	0.14759597	0.19519418	0.17550337	0.14707834	0.10425597	0.114386216
