 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
a23	0.014538639	0.002939434	0.0026741198	0.002267337	0.116505556	0.25081363	0.35509914	0.25516218
a31	0.25124565	0.070281975	0.3154076	0.1075908	0.0655706	0.011528848	0.12405919	0.05431545
a29	0.0023121915	0.0171794	0.071500465	0.02342862	0.08177571	0.5932418	0.21054995	1.1860218e-05
a46	0.054071292	0.08727122	0.58137774	0.1758163	0.062942244	0.0023368679	0.02766791	0.008516437
a11	0.03383231	0.1085076	0.5092854	0.20860974	0.042728916	0.004808089	0.07396856	0.018259382
a20	0.046189032	0.1232	0.5164477	0.14462009	0.04548395	0.0026735843	0.09562925	0.025756337
a8	0.063406564	0.14073989	0.42322654	0.112850666	0.047089163	0.0034878664	0.16689067	0.04230863
a31	0.095255114	0.18034953	0.32155928	0.07994746	0.046233073	0.004095791	0.21861474	0.05394503
a38	0.08034644	0.10767333	0.3609838	0.13239728	0.11469334	0.009389371	0.16473997	0.029776422
a31	0.5493182	0.03454778	0.057741113	0.02908638	0.032323174	0.040657263	0.1507541	0.10557204
a24	0.16030172	0.15676671	0.28676924	0.14875549	0.09056692	0.052392676	0.087932624	0.016514553
a37	0.38812354	0.04121359	0.06738982	0.030233476	0.02833198	0.026517788	0.27124658	0.14694326
a15	0.5814195	0.18699889	0.085398726	0.039052587	0.028433207	0.0129460255	0.04714695	0.018604057
a31	0.6716479	0.091630496	0.08180216	0.018663328	0.018504176	0.011309543	0.073042355	0.033399984
a20	0.29380032	0.072600104	0.12033188	0.04118428	0.038429797	0.16366929	0.1961265	0.07385784
a31	0.51940286	0.052074477	0.09776879	0.03864248	0.021867363	0.048196305	0.112542346	0.10950546
a37	0.11967627	0.062740065	0.08809643	0.06436182	0.017881155	0.028991118	0.27086022	0.34739295
a46	0.40451652	0.1309059	0.24060936	0.07367678	0.017615607	0.033229765	0.038890086	0.06055599
a20	0.30384955	0.07493612	0.13291508	0.050215684	0.038039356	0.13809676	0.116075076	0.14587232
a24	0.28639817	0.033482876	0.043262098	0.030601857	0.079480164	0.26195297	0.15203647	0.11278541
a31	0.16520442	0.025878549	0.03006359	0.030279566	0.10122522	0.35484242	0.17560312	0.11690307
a17	0.21423657	0.1270957	0.17391616	0.033471383	0.042182144	0.12993312	0.19306952	0.0860954
a20	0.38288653	0.111920066	0.15323094	0.06865445	0.042554997	0.08867379	0.063380405	0.08869883
a38	0.17816785	0.10038615	0.11310078	0.09074843	0.09986136	0.23903282	0.09013363	0.08856901
a31	0.12139249	0.084877454	0.0889218	0.09161596	0.11481772	0.2793491	0.11540702	0.10361844
a17	0.16838244	0.13953857	0.1462957	0.093830906	0.075516865	0.0904586	0.16395596	0.12202103
a31	0.25586122	0.13658378	0.15583697	0.09221313	0.07307736	0.09272549	0.087258026	0.10644401
a37	0.04937934	0.18138474	0.14205587	0.14922692	0.068495646	0.04983872	0.18262962	0.1769891
</S>	0.1995772	0.14299695	0.14808619	0.10536274	0.09852839	0.10067138	0.100453876	0.1043233
