 	lo	posso	finire	di	fare	</S>
a20	0.007053438	0.0005773857	0.00026386837	0.0008247055	0.98964626	0.0016343084
a31	0.032842126	0.0006796481	4.8032016e-06	0.0027525853	0.96297854	0.00074226124
a46	0.06725204	0.0002544734	6.0869424e-06	0.88203454	0.050448194	4.613766e-06
a31	0.13952392	0.0011787735	1.4696581e-05	0.0049727615	0.8537778	0.00053196616
a41	0.9902934	0.006270724	6.7051595e-05	0.0016952968	0.00021460153	0.0014589349
a18	0.85752046	0.012141106	0.00038895058	0.0013183916	0.12392208	0.00470903
a7	0.8261163	0.0082302345	0.0045623216	0.012113952	0.042295195	0.106682055
a41	0.88837963	0.002654918	0.0028391825	0.010561808	0.03750719	0.058057386
a31	0.17321986	0.19008665	0.12579642	0.09190605	0.20387876	0.21511228
a0	0.045453068	0.1868614	0.15768264	0.13341905	0.4479025	0.028681329
a31	0.11413954	0.331304	0.32233077	0.07185343	0.12421294	0.03615927
a39	0.048302732	0.05610883	0.04694421	0.050215777	0.7742778	0.024150617
a46	0.13795894	0.22150263	0.2423528	0.13002357	0.15854765	0.10961432
</S>	0.13354167	0.15987359	0.18614766	0.13799246	0.25640574	0.12603888
