 	ho	rotto	una	bottiglia	</S>
a31	0.0592196	0.009428452	0.15581676	0.28562552	0.48990962
a21	0.24273475	0.020279497	0.022734495	0.18169922	0.532552
a31	0.20946793	0.1707817	0.24343377	0.045239072	0.3310775
a35	0.47882888	0.5093715	0.0025517696	0.0058091385	0.0034387067
a31	0.49566957	0.08047725	0.20801458	0.025454232	0.1903844
a24	0.9148854	0.029804144	0.04275211	0.0032497658	0.009308591
a37	0.76583976	0.1252471	0.03637128	0.038541522	0.03400032
a31	0.66715926	0.045701806	0.07415334	0.1030582	0.109927334
a33	0.1188458	0.084115304	0.08579167	0.31594256	0.39530465
a31	0.17300029	0.15256043	0.15367898	0.21152698	0.30923334
</S>	0.2231262	0.40770102	0.148084	0.10686983	0.11421893
