 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a23	0.013249905	0.007136889	0.023169214	0.09974088	0.05428633	0.036565322	0.0061769104	0.025534306	0.42024365	0.31389663
a31	0.09092581	0.5270464	0.04097222	0.22543763	0.08722483	0.017602257	0.002122044	0.0003219532	0.004451316	0.0038955803
a28	0.011070031	0.012668508	0.0007565166	0.25954655	0.089323685	8.65061e-05	0.44979045	0.013838991	0.16291651	2.3237892e-06
a31	0.035949744	0.13598749	0.20126995	0.26834318	0.08991122	0.05498994	0.18098867	0.011373298	0.01831435	0.0028721448
a29	0.028426489	0.030581065	0.059061304	0.075686075	0.1584124	0.04042913	0.52855694	0.045631208	0.029031442	0.004183984
a39	0.0369201	0.05970647	0.34807333	0.21656972	0.15258378	0.15863857	0.008388195	0.0017833492	0.009298976	0.008037438
a31	0.026090069	0.055392563	0.26067576	0.18770784	0.13680823	0.300674	0.016341813	0.0030111806	0.0076213717	0.005677253
a39	0.05732969	0.20402686	0.07010334	0.2348552	0.24907346	0.13051108	0.044693734	0.0035895593	0.0049043763	0.00091274816
a41	0.06382925	0.07072609	0.087611854	0.12859404	0.2635322	0.3539854	0.0093470905	0.009931582	0.00347239	0.00897011
a10	0.06335384	0.07699524	0.06418033	0.10167968	0.39918464	0.26762137	0.011497641	0.005033199	0.0033094764	0.0071445503
a31	0.09028086	0.13400184	0.07666072	0.14091098	0.401423	0.12841414	0.008294381	0.008363557	0.0065702307	0.005080268
a18	0.071290575	0.21162643	0.1337961	0.30007643	0.20682111	0.029362077	0.011393174	0.009550798	0.024107484	0.0019758078
a31	0.1980723	0.12802494	0.030546533	0.12608	0.36379826	0.04401512	0.012792479	0.010288323	0.011917717	0.07446422
a3	0.046727765	0.09770215	0.20646968	0.18915056	0.06970349	0.03582797	0.011535662	0.033747833	0.10756691	0.20156798
a18	0.2843506	0.13511014	0.047988836	0.123335406	0.26791868	0.027910233	0.03148103	0.019709121	0.018587578	0.043608405
a31	0.19071822	0.086275205	0.02658131	0.10768029	0.18261394	0.028409114	0.034674052	0.032186095	0.06486905	0.2459928
a23	0.063408725	0.079641506	0.040576547	0.0587504	0.03843059	0.007234445	0.021650776	0.03460398	0.06478452	0.5909185
</S>	0.176679	0.15611626	0.08296429	0.12724692	0.14432447	0.06169394	0.06419157	0.058312804	0.05823189	0.070238784
