 	non	aveva	da	stare	</S>
a37	0.06820035	0.038480867	0.14789651	0.69395256	0.05146972
a38	0.042190656	0.005953097	0.010837172	0.8617423	0.079276845
a24	0.120997034	0.00039911052	0.0015982945	0.87696457	4.0998984e-05
a8	0.0018422379	0.0007288065	0.00015212035	0.9967092	0.0005675356
a17	0.03380698	0.0130755585	0.0041668783	0.9484319	0.00051871955
a31	0.18149598	0.042920373	0.032738533	0.5531856	0.18965949
a20	0.05705231	0.017429134	0.0052301716	0.91248006	0.0078084064
a8	0.29574877	0.06928708	0.026310649	0.47246552	0.13618794
a31	0.17208003	0.114263065	0.06851441	0.4617801	0.18336245
a20	0.045632835	0.036172982	0.019036243	0.88444734	0.014710658
a31	0.095988646	0.096267894	0.09709217	0.2014413	0.50921
a8	0.07733072	0.11163695	0.26829445	0.06404611	0.47869176
a31	0.28149378	0.11934438	0.1433499	0.21341845	0.24239357
</S>	0.18761615	0.18057124	0.2086035	0.127999	0.29521006
