 	li	vestono	i	genitori	</S>
a31	0.19526924	0.10797911	0.028768942	0.5262665	0.1417162
a46	0.091695115	0.8966497	0.008367056	0.0014002557	0.0018878618
a18	0.08129118	0.65926284	0.21290673	0.002805816	0.043733414
a35	0.3795795	0.5178644	0.09079351	0.004731346	0.007031241
a15	0.5147845	0.442643	0.014504752	0.010126798	0.017940998
a39	0.40991583	0.47366226	0.025871947	0.03194357	0.05860637
a31	0.39690384	0.4244955	0.04519474	0.06663444	0.06677146
a11	0.13622382	0.62946016	0.032938696	0.16258425	0.038793065
a20	0.25324795	0.28485924	0.035114404	0.3165047	0.110273674
a31	0.3862353	0.23735932	0.044565924	0.15828738	0.17355214
a39	0.24393289	0.4158042	0.05364927	0.2007992	0.085814394
a20	0.32388532	0.3377904	0.06055405	0.20500493	0.072765276
a46	0.30431947	0.26931557	0.06369764	0.27137557	0.09129175
a31	0.3335276	0.20247383	0.085809544	0.2500199	0.1281691
a15	0.21174419	0.27511972	0.15340987	0.296397	0.063329265
a24	0.23039977	0.21396996	0.18171833	0.19306771	0.18084423
a20	0.26329374	0.19482614	0.16769008	0.19778404	0.17640601
a31	0.26159164	0.19358881	0.16794603	0.19984677	0.17702675
a13	0.3081219	0.32060573	0.20396438	0.105394155	0.061913848
a46	0.20452918	0.20589285	0.19386977	0.20145312	0.19425508
a14	0.18335	0.18169983	0.1783643	0.27182007	0.18476582
a20	0.1735017	0.17349508	0.173554	0.2962214	0.18322776
a31	0.22158912	0.19579804	0.18623337	0.20650123	0.18987824
</S>	0.32332864	0.32901973	0.21377404	0.07321147	0.06066608
