 	forse	sono	usciti	</S>
a23	0.014832485	0.014073709	0.94727767	0.023816215
a31	0.055820286	0.13649996	0.19960485	0.6080749
a23	0.0004514406	0.0057219784	0.99381655	1.00098505e-05
a31	0.10846946	0.46358475	0.401929	0.026016828
a10	0.6450751	0.12663208	0.14218333	0.08610953
a37	0.6558113	0.1910942	0.08137544	0.07171906
a31	0.14985478	0.7112918	0.04648651	0.09236698
a37	0.10905347	0.8772061	0.0030376292	0.01070282
a31	0.1206511	0.37705573	0.20236766	0.2999255
a39	0.06684555	0.8711875	0.025037792	0.03692907
a31	0.24639826	0.36782622	0.1713189	0.21445663
</S>	0.13798049	0.66821617	0.08372484	0.11007858
