 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.16997018	0.1134762	0.10550388	0.14577918	0.07788039	0.054355375	0.019404791	0.31362996
a27	0.30046222	0.590533	0.033253677	0.0063752388	0.020208923	0.024123058	0.020505097	0.0045387913
a8	0.04445729	0.11684717	0.011382963	0.011703983	0.024103977	0.004465293	0.7736872	0.013352207
a28	0.028194647	0.17417014	0.049520858	0.025926746	0.0056359144	0.0046252855	0.7022838	0.0096426355
a31	0.028763028	0.19753511	0.23838328	0.097741745	0.033686347	0.12002313	0.25940058	0.024466846
a24	0.0013454078	0.055070546	0.01481579	0.058608033	0.14284872	0.043463647	0.6826149	0.0012330129
a31	0.19480681	0.36937037	0.19076253	0.08182489	0.052785702	0.08449293	0.010725856	0.015230855
a10	0.011578745	0.059048697	0.045911364	0.15541497	0.58665246	0.077029884	0.059879594	0.0044842926
a20	0.27214852	0.4414147	0.13880117	0.04376128	0.029973803	0.062168498	0.0049570887	0.0067749163
a31	0.18035458	0.30865258	0.1179217	0.11256504	0.1453791	0.09879412	0.022134362	0.014198559
a39	0.13724436	0.22223696	0.09692346	0.24525858	0.20029472	0.06103601	0.02587367	0.011132224
a31	0.50617087	0.2879639	0.06847326	0.031367704	0.047227107	0.037012745	0.0033264484	0.018457927
a18	0.3270819	0.21705271	0.09074667	0.028496597	0.0143353315	0.11704091	0.03509905	0.17014676
a31	0.24699116	0.25226647	0.066087134	0.16256821	0.15630871	0.060074173	0.025926981	0.029777182
a17	0.32090378	0.12879638	0.03835106	0.023581974	0.019272432	0.11320719	0.09079483	0.26509237
a31	0.18483838	0.224487	0.094010904	0.15507731	0.1288157	0.085679404	0.064090304	0.063000955
a8	0.124944896	0.095456764	0.031218922	0.0295788	0.037723918	0.18954393	0.21872121	0.2728116
</S>	0.15273795	0.17354582	0.11150786	0.1421932	0.12645695	0.10289843	0.09593053	0.094729215
