 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
a23	0.07365086	0.005653773	0.003766785	0.011327907	0.018793125	0.0031912667	0.018568335	0.06841982	0.04200808	0.02060151	0.02167081	0.12592494	0.58642274
a31	0.49414113	0.04495985	0.0744146	0.11435381	0.1251719	0.006741556	0.03250603	0.00615865	0.055513926	0.015811527	0.0062845224	0.009301103	0.014641406
a7	0.51986635	0.013234914	0.21986994	0.04245946	0.027729893	0.00071079837	0.0055928673	0.00040310525	0.0038891674	0.11086363	0.035117175	0.02017004	9.263616e-05
a20	0.011972662	0.046753272	0.05631535	0.04203531	0.10039454	0.02783171	0.0103464015	0.018575275	0.45224985	0.18205966	0.039424423	0.010704783	0.0013368013
a17	0.025629835	0.09397024	0.1572164	0.16602884	0.32126558	0.14541236	0.0095895305	0.0103180725	0.0144520365	0.031877626	0.017022401	0.0056728786	0.0015442269
a39	0.024828292	0.09890334	0.15910684	0.19111803	0.39781907	0.09821578	0.0046842876	0.0051677506	0.004561033	0.006851331	0.004639044	0.0027584662	0.0013466171
a31	0.017019873	0.06141634	0.15753178	0.17034969	0.55220914	0.034307986	0.0023224407	0.0015665818	0.000917709	0.0006767292	0.00070279365	0.00055154803	0.00042738856
a13	0.042546175	0.06064575	0.39871353	0.07343023	0.3829695	0.0025366137	0.00042898004	0.0007407581	0.0062661264	0.017166339	0.007045874	0.006807618	0.000702625
a17	0.33539006	0.061128195	0.07389595	0.16718046	0.15094092	0.0039860057	0.02227375	0.031091113	0.018139957	0.0121947685	0.0048601436	0.023720596	0.095198065
a3	0.015931105	0.06836407	0.097040206	0.09590192	0.70641994	0.010076428	0.0015432778	0.0013026152	0.000325116	0.00020396033	0.0005110078	0.0012420125	0.0011383487
a18	0.098456755	0.076805025	0.19302024	0.25720343	0.2955933	0.014417289	0.0108049	0.007821257	0.002923803	0.0029725183	0.0017100107	0.014369027	0.023902392
a31	0.069022	0.05022851	0.13650791	0.26031494	0.39148998	0.0070563825	0.005644239	0.007139935	0.0021054645	0.0022665416	0.0028848138	0.025158279	0.040181007
a37	0.08959847	0.072644636	0.15512854	0.09661857	0.09466887	0.011141191	0.008567163	0.017726418	0.0053763795	0.012212154	0.023015773	0.32893372	0.08436815
a41	0.50811976	0.06057269	0.045127794	0.11168597	0.064228654	0.0041512796	0.00853814	0.029821392	0.01816635	0.013910835	0.008035234	0.016591711	0.111050196
a35	0.1114162	0.1313986	0.18668936	0.2623929	0.2547804	0.005392806	0.007055346	0.003725583	0.0037063225	0.0038355372	0.0017252282	0.009003311	0.018878384
a31	0.1963374	0.12012572	0.15938814	0.29915732	0.12929341	0.0067704273	0.0046058334	0.006133008	0.008909188	0.012356473	0.006352396	0.0156224305	0.034948245
a24	0.11767692	0.095422454	0.06396184	0.04703453	0.036781054	0.0017540383	0.0044160234	0.00613062	0.007644932	0.028704263	0.06086547	0.42490074	0.10470715
a37	0.5733923	0.06925549	0.047468998	0.07724079	0.029643703	0.0024611177	0.0025914882	0.009526378	0.013013292	0.012568655	0.007718301	0.02072656	0.13439298
a29	0.46460485	0.15094449	0.06359107	0.12276311	0.05987551	0.0023730982	0.006712813	0.008004755	0.027590515	0.03101097	0.010437462	0.012423573	0.039667796
a24	0.5048171	0.14442606	0.059878662	0.087951414	0.023693439	0.0019902152	0.004968357	0.006446895	0.021722052	0.030715497	0.013679898	0.02317864	0.076531656
a46	0.3337781	0.16011764	0.06649524	0.10040492	0.028698314	0.005343519	0.012460196	0.016876146	0.044541407	0.06329645	0.035261244	0.042508196	0.090218596
a31	0.31917745	0.10814571	0.058113232	0.09380606	0.031967323	0.007381592	0.019465642	0.027734676	0.054961134	0.072250284	0.040466323	0.047936402	0.11859418
a20	0.442322	0.10617995	0.06617821	0.042899434	0.016021788	0.0010809947	0.0106867645	0.022084925	0.015026524	0.030265035	0.06226777	0.11914976	0.06583689
a31	0.3485536	0.13112286	0.08069805	0.10326657	0.03313086	0.00712095	0.0053486666	0.01737532	0.027950326	0.028667396	0.024158053	0.045516156	0.14709115
a0	0.39124313	0.11566647	0.115685225	0.068108045	0.027880192	0.005732131	0.020851886	0.0547979	0.023600986	0.019480335	0.027568046	0.0644914	0.064894274
a31	0.1504367	0.20940076	0.16518836	0.123816215	0.038217433	0.01518828	0.01029951	0.014067507	0.027248712	0.037306644	0.035843246	0.077618286	0.095368385
a46	0.091939636	0.11702114	0.12710911	0.06253925	0.024771096	0.00818152	0.01268983	0.01667121	0.013732654	0.0144154895	0.08201961	0.2442249	0.18468463
a33	0.09632766	0.19380605	0.25036013	0.10222996	0.046404283	0.029668957	0.028532032	0.02941854	0.037679456	0.04331489	0.044256985	0.054776356	0.043224763
</S>	0.09170882	0.10083046	0.12639377	0.08530351	0.06560599	0.06299515	0.059126794	0.064903036	0.065440655	0.06830733	0.0672437	0.07150005	0.070640765
