 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a31	0.09704081	0.050563995	0.08959636	0.07897627	0.10036059	0.056919854	0.049283244	0.029089011	0.06910357	0.37906623
a39	0.12279675	0.087192185	0.4939623	0.05043944	0.107501864	0.034422632	0.023882002	0.0072599025	0.049682315	0.022860523
a31	0.008227307	0.15088873	0.117839955	0.06281825	0.05879691	0.009745924	0.011877892	0.09051131	0.4255088	0.06378496
a14	0.0017488111	0.010844236	0.2969109	0.012732118	0.04044677	0.0033573091	0.02191404	0.013242485	0.5961973	0.0026059372
a41	0.024024667	0.044000827	0.23632798	0.06975011	0.1891881	0.08913478	0.04868836	0.03617142	0.11629481	0.14641897
a33	0.053266928	0.044257477	0.09228449	0.12646858	0.3037043	0.28580946	0.07070395	0.014104709	0.0053887083	0.0040113972
a20	0.06626816	0.054236185	0.14757748	0.07995143	0.3742814	0.20160374	0.021749793	0.005621078	0.018447636	0.03026308
a31	0.07660148	0.07897415	0.13977231	0.101412356	0.2745759	0.16890272	0.0113227945	0.0052913115	0.045739	0.09740796
a10	0.060218338	0.06938356	0.06916568	0.062496357	0.24209161	0.22432624	0.122673064	0.032773692	0.10911892	0.0077525624
a31	0.16868128	0.05751891	0.057475813	0.107236296	0.33742	0.19328636	0.017601399	0.008258473	0.011958642	0.04056273
a46	0.07570909	0.072007224	0.14711596	0.17165744	0.21252508	0.18529274	0.07882995	0.021086928	0.022092124	0.013683498
a31	0.13931131	0.052353665	0.051180314	0.10151375	0.35873586	0.24343152	0.02079532	0.0068826876	0.0074773594	0.018318163
a39	0.057781488	0.047306813	0.12161678	0.17266102	0.21948151	0.13319135	0.058345526	0.035227597	0.062067278	0.09232065
a28	0.10893324	0.04526831	0.04198301	0.072363116	0.34987262	0.31618485	0.04093834	0.008606335	0.007711536	0.008138654
a21	0.12204757	0.04810492	0.08882647	0.1856745	0.3208483	0.16930541	0.021759726	0.0064696167	0.008852367	0.028111206
a24	0.1680991	0.07991309	0.08584943	0.14395101	0.257257	0.105233274	0.010880441	0.009624803	0.023794323	0.1153975
a46	0.30184785	0.12921987	0.09999193	0.1430691	0.13345939	0.07108011	0.01012358	0.013337942	0.023455879	0.07441436
a20	0.20018964	0.07548722	0.0678317	0.097944446	0.099034734	0.07990273	0.03417174	0.040930837	0.07166233	0.23284453
a31	0.15912828	0.053807434	0.048783634	0.06877142	0.08599257	0.11704662	0.08343577	0.06955713	0.08025194	0.23322518
a14	0.062246643	0.15130126	0.14323495	0.07987355	0.03759397	0.016466528	0.05995285	0.09355563	0.27705267	0.078721955
a17	0.14646974	0.0685791	0.0547638	0.060870465	0.17361197	0.19762434	0.1431259	0.060310658	0.049924865	0.044719085
