 	sono	vestita	</S>
a31	0.053082757	0.17952904	0.76738816
a20	0.196893	0.18407978	0.6190272
a31	0.022722466	0.81114155	0.16613595
a41	0.20612694	0.7431522	0.05072081
a46	0.035627414	0.9501382	0.014234387
a18	0.3814625	0.41683757	0.20169987
a24	0.39473557	0.37263483	0.23262963
a31	0.29052725	0.122880265	0.5865925
a11	0.21638206	0.39381325	0.38980466
a0	0.6166806	0.30776906	0.07555033
a15	0.363449	0.5615986	0.07495247
a8	0.3071772	0.60428804	0.08853472
a39	0.29685128	0.60926193	0.09388674
</S>	0.31988028	0.5975854	0.08253433
