 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
a46	0.009141011	0.0048166993	0.021379936	0.025439668	0.06278606	0.45296758	0.03885558	0.23805833	0.040766228	0.01040795	0.09538098
a31	0.07235437	0.075058766	0.19312337	0.4797848	0.07757048	0.0136995325	0.008248275	0.0005018345	0.00054631516	0.03118432	0.047927942
a17	0.043411784	0.10063948	0.0337477	0.0025874642	2.602648e-07	0.0312472	0.00019696294	2.0417026e-05	1.2398892e-05	0.7879138	0.00022253195
a41	0.1065839	0.4292991	0.07486162	0.033642113	0.0035817663	0.08979309	0.17536694	0.006315182	0.0064251497	0.06667834	0.007452821
a31	0.030722955	0.07663446	0.012063613	0.036713727	0.02659918	0.08285663	0.5142588	0.007509343	0.031274818	0.15638037	0.02498602
a38	0.00025897266	0.0007904211	0.000273441	0.00045051356	3.197725e-05	0.000157115	0.0021432724	0.0001975658	0.0002275435	0.99346405	0.0020051803
a31	0.058160134	0.06467486	0.07622255	0.118800305	0.033450093	0.021578291	0.36780706	0.014309519	0.008271564	0.061777133	0.17494851
a17	0.013496575	0.02838902	0.02793325	0.026239183	0.0042479066	0.0022976156	0.0033630638	0.00075303484	0.0017436068	0.8852444	0.0062924265
a31	0.068613924	0.049559142	0.23068571	0.46107075	0.055510536	0.024073215	0.05933144	0.006559395	0.0032748892	0.0029897536	0.038331196
a39	0.04494281	0.071596906	0.11069029	0.07408991	0.023741042	0.017286165	0.03055652	0.0045277355	0.046325117	0.5491905	0.027052967
a35	0.08890812	0.12791786	0.20600359	0.31948417	0.12160694	0.081804834	0.024551118	0.0073482795	0.0031799197	0.0069134263	0.012281759
a31	0.09592815	0.081890576	0.3094343	0.44182995	0.032757808	0.013569105	0.0133612715	0.0016287934	0.0014313044	0.00088098226	0.0072877817
a46	0.017567016	0.01748902	0.05583255	0.03895109	0.030795224	0.055832338	0.22564144	0.027710006	0.34696802	0.06921489	0.11399837
a38	0.18061131	0.26115152	0.2634539	0.1455669	0.043658532	0.052363068	0.015054554	0.009769129	0.005098252	0.012761971	0.010510814
a13	0.12360378	0.11306794	0.34077558	0.26689482	0.055224545	0.03821114	0.020771153	0.014694945	0.0057943612	0.0026523205	0.018309513
a11	0.12921742	0.2056587	0.3284111	0.12607685	0.03154691	0.059617445	0.043470554	0.034560047	0.016994212	0.0022889846	0.02215774
a13	0.13040628	0.28894505	0.28183097	0.084590994	0.044239633	0.06075778	0.043175936	0.030881708	0.012692068	0.0027944872	0.019685097
a31	0.120450646	0.2960336	0.20214015	0.0777406	0.057387415	0.10778279	0.046870597	0.042689674	0.018537316	0.006365413	0.024001794
a49	0.0055543785	0.012600488	0.0056563932	0.0026215415	0.0011897538	0.012628445	0.0008431598	0.0012409673	0.01243458	0.93562824	0.009602103
a13	0.21054746	0.39128694	0.27763867	0.06628798	0.013817043	0.010486601	0.0071039037	0.005718728	0.002551595	0.00826381	0.0062973965
a20	0.14814988	0.33939865	0.20201892	0.08551702	0.026653567	0.06289402	0.026913077	0.022555748	0.04681363	0.021114446	0.017971111
a31	0.1556488	0.23837362	0.17509848	0.09678307	0.06149431	0.099983364	0.037933774	0.04106958	0.033781495	0.026487194	0.033346307
a8	0.0049541662	0.008589783	0.0060196337	0.0041514505	0.003197229	0.006968634	0.0033603956	0.0035142028	0.026668604	0.9054562	0.027119642
a31	0.134243	0.28032485	0.15638031	0.073947065	0.04788353	0.05143565	0.06412891	0.052095782	0.042714424	0.046919417	0.04992708
a45	0.017056387	0.028020838	0.015937163	0.011524278	0.010708504	0.012827921	0.07742795	0.0555333	0.31575197	0.304925	0.15028664
a31	0.101325445	0.1319533	0.10865638	0.09139004	0.07951062	0.082665816	0.08401969	0.0799736	0.07902017	0.08093329	0.08055166
</S>	0.028650463	0.045983456	0.019459408	0.013520285	0.017109832	0.01452184	0.13678098	0.11153608	0.2215927	0.2069896	0.18385543
