 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
a31	0.12665117	0.03839812	0.053750973	0.024079856	0.017231202	0.030589018	0.04276501	0.017454648	0.039192215	0.106787756	0.50310004
a14	0.1855821	0.00015459357	0.009184768	0.0023857318	0.0011938692	0.00042589993	0.006408376	0.3427188	0.4039759	0.005632497	0.04233754
a11	0.14990363	0.01999904	0.77415323	0.01917571	0.009131911	0.0019662955	0.0005041978	0.0072577586	0.007805978	0.0037976003	0.006304778
a31	0.13279963	0.018064925	0.08193486	0.07139524	0.1321742	0.041098937	0.018055037	0.16747501	0.23237514	0.050707642	0.0539193
a46	0.04779192	0.0103827035	0.035745848	0.026965456	0.06419182	0.109558724	0.11401315	0.30633694	0.25080204	0.0071017174	0.027109696
a33	0.1379157	0.00063215377	0.0071543274	0.011391195	0.014511403	0.034485567	0.2911595	0.33440965	0.06807389	0.017064417	0.083202176
a23	0.15182078	0.00053329644	0.0032440487	0.0021438194	0.0047544795	0.027983818	0.2561589	0.37025985	0.059545856	0.013066013	0.11048917
a31	0.15640281	0.00042414517	0.0020696502	0.0017813024	0.005633178	0.031237336	0.27509823	0.32333604	0.0417714	0.013594804	0.14865112
a21	0.06572938	0.00025154735	0.0029947932	0.004429945	0.0043508583	0.0070641814	0.18452235	0.6515144	0.06809887	0.00047940505	0.010564297
a24	0.31361654	0.0010067886	0.0033159496	0.0046975682	0.008966411	0.040101055	0.43173388	0.064255595	0.018431881	0.015436408	0.09843794
a46	0.1804974	0.0007416943	0.004567401	0.0048536705	0.019007947	0.078481436	0.40500873	0.20991346	0.02436357	0.0070369057	0.06552781
a20	0.3052957	0.00090019935	0.0065819463	0.007932894	0.024015747	0.10070023	0.35365543	0.13045903	0.018698845	0.0070309173	0.044729117
a31	0.32401764	0.00088067923	0.004184228	0.0036323534	0.010956222	0.08222475	0.4067085	0.08790498	0.022976106	0.009504146	0.04701034
a7	0.11680146	0.000162622	0.0034394807	0.008992788	0.008591001	0.00645715	0.20391293	0.57854867	0.05740187	0.0017889284	0.013903062
a10	0.18910015	0.0022804674	0.0049304673	0.0048814914	0.009538265	0.04175697	0.63145596	0.05370053	0.012621743	0.009099914	0.04063406
a31	0.32300892	0.0012577757	0.01134366	0.05712206	0.07798938	0.10775155	0.2509646	0.06375429	0.014824948	0.023244312	0.068738535
a0	0.12167588	0.00063120096	0.015116222	0.028867885	0.03542625	0.02269941	0.21935458	0.44389936	0.08449827	0.005565086	0.022265885
a31	0.16294466	0.002761568	0.0058013857	0.008320427	0.014102835	0.040467866	0.6765601	0.051179208	0.010676592	0.0060823285	0.02110293
a37	0.02618943	0.0016061814	0.013871005	0.09499147	0.1285509	0.04307148	0.1587077	0.3236655	0.11539064	0.03704293	0.056912728
a20	0.09236065	0.0062340377	0.010065924	0.005611814	0.012453251	0.03606218	0.7496436	0.05646001	0.01252254	0.008524837	0.010061146
a37	0.07036988	0.009520712	0.01621271	0.02235577	0.029361568	0.059115477	0.7256631	0.033805013	0.01177278	0.010880463	0.010942441
a13	0.10294018	0.02119426	0.031821694	0.057634506	0.054210808	0.07783104	0.57782024	0.030719	0.014635012	0.015323004	0.015870256
a39	0.11460339	0.044832103	0.055828735	0.06476148	0.053822644	0.08547847	0.47964466	0.034458056	0.02098335	0.022586552	0.023000602
a17	0.12806632	0.083968565	0.08915081	0.049567305	0.041828	0.08101667	0.40089276	0.03945358	0.028965453	0.028569298	0.028521279
a28	0.1218208	0.13051379	0.12146697	0.043920156	0.040262062	0.06806328	0.30947238	0.047821045	0.040178288	0.03851209	0.03796915
a31	0.1052561	0.139838	0.12045596	0.059387352	0.05668867	0.07040944	0.22839479	0.061095357	0.05430038	0.052525736	0.05164822
a0	0.037895616	0.011457467	0.022048648	0.102074504	0.07235765	0.024396693	0.058062986	0.4066368	0.22256416	0.012989055	0.029516399
a13	0.056289773	0.013070795	0.013611426	0.0070440806	0.011985813	0.03491001	0.71458375	0.06490193	0.03161421	0.024662202	0.027325971
a31	0.07641174	0.09330804	0.102597155	0.18726297	0.13160652	0.07485609	0.15617277	0.049890023	0.044228613	0.04287504	0.04079103
a37	0.029569868	0.017961597	0.03350935	0.17319661	0.11759013	0.034688976	0.037260797	0.2916452	0.2083702	0.022728853	0.033478428
a8	0.054084208	0.022741731	0.021834288	0.012353149	0.018644927	0.03947771	0.6464078	0.077032514	0.042000324	0.033293758	0.032129575
</S>	0.101793945	0.14684576	0.12451804	0.07732253	0.0718832	0.07635584	0.14504834	0.06607719	0.06397999	0.06337575	0.06279937
