 	lo	ho	finito	di	fare	</S>
a8	0.12867053	0.11623726	0.13005722	0.06650595	0.17016773	0.3883613
a31	0.18916115	0.25022525	0.016696922	0.020497082	0.34471646	0.17870313
a20	0.014743962	0.10064807	0.0002601696	0.0011385304	0.8832076	1.681722e-06
a24	0.046704818	0.04172282	0.009809509	0.048849396	0.817601	0.03531242
a18	0.27203396	0.30559328	0.045330085	0.07838501	0.26009178	0.038565915
a31	0.43522596	0.3800767	0.018341057	0.020120442	0.08945655	0.0567793
a20	0.14540681	0.4840293	0.02000262	0.042632394	0.29759496	0.010333937
a10	0.5279892	0.07551777	0.040168278	0.019422852	0.018243225	0.31865868
a20	0.49809167	0.15770924	0.10002044	0.07380751	0.058022525	0.112348594
a7	0.38714862	0.048203368	0.046623807	0.042640135	0.031169722	0.44421446
a31	0.19943948	0.032824844	0.051208574	0.0411825	0.03942627	0.63591826
a20	0.07574822	0.53044254	0.030666752	0.030796176	0.318569	0.013777236
a18	0.40382546	0.30282822	0.02005209	0.04552695	0.16989651	0.057870787
a24	0.39937186	0.17242715	0.07203933	0.07093058	0.18007489	0.10515622
a46	0.23056816	0.29402837	0.09570169	0.087056965	0.16995907	0.12268574
a31	0.20178397	0.28869453	0.10994539	0.10373229	0.16609697	0.12974688
a33	0.059274703	0.14325702	0.058354955	0.07960385	0.6279771	0.03153236
a8	0.24081568	0.21731912	0.0980824	0.13213089	0.15657686	0.15507504
</S>	0.17716707	0.2404328	0.13853559	0.1378516	0.16601804	0.13999493
