 	ho	cosa	a	fare	</S>
a23	0.06331283	0.08330366	0.08423916	0.64656234	0.122581996
a17	0.02963951	0.07589636	0.070430666	0.7708218	0.05321159
a31	0.05792923	0.030907536	0.079517975	0.7576371	0.07400818
a8	0.00091111445	0.0030673465	0.0024351317	0.9935749	1.1505007e-05
a31	0.037274167	0.10377963	0.07022476	0.7848163	0.0039050642
a13	0.20967735	0.19259545	0.18528719	0.30990136	0.10253865
a24	0.68650913	0.09177203	0.05969716	0.08881034	0.073211364
a31	0.41444102	0.08595484	0.08411678	0.117431216	0.2980561
a13	0.5993874	0.08299205	0.057143975	0.11727329	0.14320333
a31	0.1689428	0.09139212	0.032452825	0.09663801	0.6105742
a18	0.2999057	0.1724225	0.13694564	0.05900269	0.33172354
a0	0.46257618	0.18389413	0.07828458	0.16492812	0.11031707
a39	0.34002325	0.18672721	0.13911845	0.1755184	0.15861271
</S>	0.38422653	0.21711016	0.08845329	0.19730398	0.11290607
