 	il	dito	si	gonfiò	</S>
a39	0.024610452	0.011472702	0.019668788	0.897597	0.04665106
a13	0.9148815	0.01460867	0.010171493	0.046977367	0.013360896
a31	0.05530898	0.002877635	0.015716331	0.9230004	0.003096698
a20	0.021030322	0.003916694	0.047058117	0.9268202	0.0011746641
a31	0.3623783	0.020643065	0.14759667	0.39804575	0.07133621
a11	0.47675207	0.08496719	0.07656252	0.023669764	0.3380485
a31	0.6390785	0.028300809	0.049987614	0.20095369	0.081679426
a39	0.8076344	0.060290646	0.04854368	0.026453823	0.057077464
a31	0.6310473	0.014148066	0.007976607	0.043966252	0.3028618
a41	0.3150111	0.23226224	0.19295251	0.21144974	0.04832437
a46	0.5714537	0.17979874	0.068075545	0.15207021	0.028601881
a31	0.21498352	0.24590318	0.17483972	0.28214994	0.08212363
</S>	0.1082436	0.191762	0.20024973	0.4683789	0.031365726
