 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
a33	0.0061381483	0.0030559474	0.007802802	0.0063509694	0.007394904	0.031053701	0.14400584	0.04546703	0.17982113	0.3539006	0.21500888
a31	0.17402467	0.06546811	0.015898785	0.27917	0.12075456	0.15437889	0.05413811	0.017401006	0.0052512297	0.056631133	0.056883477
a7	0.35235453	0.030220319	0.00022278624	0.26867452	0.020359943	0.020224247	0.007359884	0.041438457	0.012850797	0.24623473	5.9879585e-05
a0	0.15313117	0.41145283	0.042812504	0.118460275	0.09338345	0.034276687	0.042925525	0.07334639	0.010829122	0.013616923	0.0057652155
a31	0.15989107	0.36994478	0.036872257	0.07828729	0.1267282	0.056622762	0.06713896	0.06638931	0.0053330627	0.024645949	0.008146434
a37	0.011960813	0.045212403	6.252364e-05	0.0066068214	0.0028815262	0.007509968	0.13404818	0.18354261	0.016260143	0.5786658	0.013249252
a8	0.004975196	0.013343526	0.000664088	0.0060900315	0.0043903776	0.018016055	0.7593485	0.06728113	0.006322825	0.08802126	0.03154699
a37	0.044814803	0.18457174	0.001564056	0.008151612	0.02701234	0.10744352	0.49708396	0.05072897	0.0038727815	0.04396251	0.030793743
a31	0.12711135	0.26396143	0.00058758	0.0042015305	0.0053679645	0.010907662	0.5156043	0.00839604	0.004143609	0.04024342	0.019475114
a17	0.040823188	0.06456903	8.099249e-05	0.0046675974	0.0006962168	0.00075160194	0.6393252	0.029618464	0.010671305	0.19104955	0.017746853
a37	0.12849793	0.06388277	0.0012801868	0.014860636	0.0156181045	0.026320953	0.39684996	0.0066489526	0.022351857	0.25955364	0.06413501
a31	0.25510433	0.41057748	0.0020733161	0.010696701	0.008792953	0.00454988	0.26233503	0.0039286995	0.0017161777	0.028905315	0.011320013
a14	0.08179192	0.118893005	0.00024835722	0.012837003	0.0022813275	0.0014091828	0.4605096	0.023991508	0.010770758	0.27364343	0.013623839
a3	0.13989466	0.10298377	0.0023935928	0.019570965	0.025798861	0.06563175	0.38341686	0.006119684	0.01817917	0.17490603	0.06110461
