 	non	li	aspettiamo	più	</S>
a3	0.90142006	0.072004095	0.0016979991	0.0023034343	0.022574272
a31	0.031866945	0.005649305	0.0025670738	0.009014822	0.95090187
a35	0.3603411	0.5939984	0.0013748434	0.012160291	0.032125413
a31	0.67762405	0.30165634	0.0034991407	0.0019120591	0.01530852
a13	0.6900988	0.20482521	0.0010877136	0.0015701693	0.102418125
a31	0.49373728	0.45589522	0.011431545	0.011751084	0.027185012
a15	0.120966025	0.020657284	0.009799777	0.046195984	0.80238086
a31	0.7366502	0.05466762	0.03275723	0.120135866	0.05578903
a46	0.093594246	0.008171781	0.1166044	0.2780842	0.5035454
</S>	0.13268186	0.07166884	0.2934695	0.34135646	0.16082335
